rec,k,target,tier,occl,flags,theta_unit,dist_m,reliable,vis_first,vis_obj,vis_cap,vis_share,vis_A,vis_any,vis_lcs,noocc_first,noocc_obj,noocc_cap,noocc_share,noocc_A,noocc_any,noocc_lcs,vis_best_target_cap,noocc_best_target_cap,vis_best_wrong_cap,noocc_best_wrong_cap
2026_08_16/s6,1,球L,<1.0°,clear,,0.56,4.43,1,correct,球L,0.383,0.979,0.018,correct_only,hit,correct,球L,0.388,0.855,0.046,correct_only,hit,0.812,0.823,,
2026_08_16/s6,2,球M,1.0–2.5°,clear,,1.79,4.53,1,correct,球M,0.483,0.999,0.002,correct_only,hit,correct,球M,0.524,0.979,0.021,correct_only,hit,0.483,0.524,0.065,0.106
2026_08_16/s6,3,球R,1.0–2.5°,clear,,1.85,4.56,1,none,,,,,none,hit,none,,,,,none,hit,0.143,0.188,,
2026_08_16/s6,4,球R,1.0–2.5°,clear,,1.85,4.54,1,correct,球R,0.474,0.998,0.002,correct_only,hit,correct,球R,0.566,0.999,0.002,correct_only,hit,0.474,0.566,,
2026_08_16/s6,5,球M,1.0–2.5°,clear,,1.79,4.46,1,correct,球M,0.87,0.983,0.022,correct_only,hit,correct,球M,0.952,0.972,0.038,correct_only,hit,0.87,0.952,,
2026_08_16/s6,6,球R,1.0–2.5°,clear,,1.85,4.54,1,correct,球R,0.225,0.991,0.009,mixed,hit,correct,球R,0.297,0.984,0.01,mixed,hit,0.225,0.297,0.786,0.821
2026_08_16/s6,7,球R,1.0–2.5°,clear,,1.85,4.6,1,correct,球R,0.499,0.963,0.034,correct_only,hit,correct,球R,0.599,0.959,0.04,correct_only,hit,0.499,0.599,,
2026_08_16/s6,8,球M,1.0–2.5°,clear,,1.79,4.55,1,correct,球M,0.404,0.988,0.012,correct_only,hit,correct,球M,0.421,0.974,0.029,correct_only,hit,0.404,0.421,,
2026_08_16/s6,9,球L,<1.0°,clear,,0.56,4.45,1,correct,球L,0.877,0.906,0.027,correct_only,hit,correct,球L,0.877,0.725,0.116,correct_only,hit,0.877,0.877,,
2026_08_16/s6,10,球M,1.0–2.5°,clear,,1.79,4.51,1,correct,球M,0.883,0.862,0.139,correct_only,hit,correct,球M,0.915,0.832,0.16,correct_only,hit,0.921,0.954,,
2026_08_16/s6,11,球L,<1.0°,clear,,0.56,4.41,1,correct,球L,1.326,0.866,0.051,mixed,hit,correct,球L,1.326,0.652,0.167,mixed,hit,1.326,1.326,1.072,1.175
2026_08_16/s6,12,球M,1.0–2.5°,clear,,1.79,4.55,1,correct,球M,1.292,0.896,0.154,mixed,hit,correct,球M,1.394,0.883,0.176,mixed,hit,1.292,1.394,0.685,0.857
2026_08_16/s6,13,球L,<1.0°,clear,,0.56,4.48,1,wrong,球M,0.733,0.903,0.086,mixed,hit,wrong,球M,0.836,0.905,0.075,mixed,hit,1.318,1.318,1.47,1.564
2026_08_16/s6,14,球R,1.0–2.5°,clear,,1.85,4.53,1,correct,球R,0.869,0.889,0.147,mixed,hit,correct,球R,1.038,0.896,0.14,mixed,hit,1.204,1.386,1.469,1.601
2026_08_16/s6,15,球L,<1.0°,clear,,0.56,4.39,1,correct,球L,1.414,0.806,0.069,correct_only,hit,correct,球L,1.414,0.679,0.147,correct_only,hit,1.414,1.414,,
2026_08_18/000,1,球L,≥2.5°,clear,,2.61,3.24,1,correct,球L,0.575,0.994,0.007,correct_only,hit,correct,球L,0.594,0.958,0.047,correct_only,hit,0.575,0.594,0.001,0.012
2026_08_18/000,2,球L,≥2.5°,clear,,2.61,3.01,1,correct,球L,0.383,1.0,0.0,correct_only,hit,correct,球L,0.394,0.994,0.005,correct_only,hit,0.5,0.515,,
2026_08_18/000,3,球R,1.0–2.5°,clear,,2.19,3.29,1,correct,球R,0.294,0.903,0.099,mixed,hit,correct,球R,0.475,0.938,0.061,mixed,hit,0.294,0.475,0.715,0.872
2026_08_18/000,4,球R,1.0–2.5°,clear,,2.19,3.37,1,correct,球R,0.214,0.913,0.084,mixed,miss,correct,球R,0.348,0.945,0.052,mixed,miss,0.214,0.348,0.363,0.412
2026_08_18/000,5,球M,1.0–2.5°,clear,,2.19,3.01,1,correct,球M,0.622,0.847,0.201,correct_only,hit,correct,球M,0.738,0.792,0.291,correct_only,hit,0.622,0.744,,
2026_08_18/000,6,球L,≥2.5°,clear,,2.61,3.02,1,correct,球L,1.2,0.934,0.045,correct_only,hit,correct,球L,1.222,0.907,0.076,mixed,hit,1.2,1.222,,0.233
2026_08_18/000,7,球M,1.0–2.5°,clear,,2.19,2.98,1,correct,球M,0.867,0.906,0.074,correct_only,hit,correct,球M,1.057,0.889,0.101,mixed,hit,0.867,1.057,0.187,0.337
2026_08_18/000,8,球R,1.0–2.5°,clear,,2.19,3.08,1,wrong,球M,0.604,0.734,0.404,wrong_only,hit,wrong,球M,0.682,0.671,0.545,wrong_only,hit,,,0.875,1.028
2026_08_18/000,9,球R,1.0–2.5°,clear,,2.19,3.26,1,correct,球R,0.625,0.688,0.413,correct_only,miss,correct,球R,0.864,0.742,0.317,correct_only,miss,0.625,0.864,,
2026_08_18/000,10,球M,1.0–2.5°,clear,,2.19,2.99,1,correct,球M,0.665,0.951,0.029,correct_only,hit,correct,球M,0.871,0.934,0.046,correct_only,hit,0.76,0.917,,
2026_08_18/000,11,球L,≥2.5°,clear,,2.61,3.02,1,correct,球L,1.1,0.957,0.026,mixed,hit,correct,球L,1.133,0.933,0.053,mixed,hit,1.2,1.235,0.64,0.853
2026_08_18/000,12,球M,1.0–2.5°,clear,,2.19,3.08,1,correct,球M,0.82,0.87,0.138,mixed,hit,correct,球M,1.001,0.842,0.182,mixed,hit,0.856,1.002,0.685,0.917
2026_08_18/000,13,球R,1.0–2.5°,clear,,2.19,3.33,1,correct,球R,0.808,0.954,0.043,mixed,hit,correct,球R,0.977,0.962,0.036,mixed,hit,0.902,1.143,0.676,0.726
2026_08_18/000,14,球M,1.0–2.5°,clear,,2.19,3.08,1,correct,球M,0.86,0.883,0.14,correct_only,hit,correct,球M,1.02,0.854,0.182,correct_only,hit,0.86,1.02,,
2026_08_18/000,15,球L,≥2.5°,clear,,2.61,3.02,1,correct,球L,1.183,0.882,0.048,correct_only,hit,correct,球L,1.196,0.869,0.054,correct_only,hit,1.183,1.196,,
2026_08_20/000,1,球R,1.0–2.5°,clear,,2.17,2.16,1,correct,球R,0.371,0.749,0.094,correct_only,hit,correct,球R,0.372,0.566,0.215,correct_only,hit,0.499,0.5,,
2026_08_20/000,2,香蕉,<1.0°,clear,,0.41,2.25,1,wrong,球M,1.262,0.664,0.123,wrong_only,miss,none,,,,,none,miss,,,1.262,1.262
2026_08_20/000,3,纸箱子,≥2.5°,clear,,24.07,3.06,1,correct,纸箱子,1.193,1.0,0.0,correct_only,hit,correct,纸箱子,1.273,1.0,0.0,correct_only,hit,1.193,1.273,,
2026_08_20/000,4,苹果粉,1.0–2.5°,clear,,2.09,2.24,1,correct,苹果粉,0.711,0.875,0.075,mixed,hit,correct,苹果粉,1.243,0.894,0.064,mixed,hit,0.711,1.243,0.953,0.953
2026_08_20/000,5,白杯1,1.0–2.5°,clear,,1.84,2.3,1,correct,白杯1,0.622,0.61,0.645,correct_only,hit,correct,白杯1,0.658,0.437,0.609,correct_only,hit,0.622,0.658,0.404,0.404
2026_08_20/000,6,水瓶,<1.0°,clear,,0.41,2.3,1,wrong,白杯1,0.758,0.588,0.677,mixed,miss,wrong,白杯1,0.797,0.425,0.644,mixed,hit,0.566,0.726,0.843,0.843
2026_08_20/000,7,红杯,1.0–2.5°,clear,,1.84,2.31,1,wrong,白杯2,0.883,0.572,0.472,wrong_only,miss,correct,红杯,0.929,0.558,0.692,correct_only,miss,,0.929,1.072,1.072
2026_08_20/000,8,苹果红,<1.0°,clear,,0.41,2.26,1,wrong,球L,0.983,0.486,0.633,wrong_only,miss,none,,,,,none,hit,,0.575,1.24,1.24
2026_08_20/000,9,球M,1.0–2.5°,clear,,1.83,2.23,1,correct,球M,0.563,0.714,0.115,mixed,hit,wrong,水瓶,0.2,0.834,0.62,wrong_only,hit,1.249,1.25,0.646,0.646
2026_08_20/000,10,橘子,<1.0°,clear,,0.41,2.35,1,wrong,苹果红,0.645,0.471,0.361,wrong_only,miss,none,,,,,none,hit,,0.811,0.645,
2026_08_20/000,11,球L,1.0–2.5°,clear,,1.71,2.29,1,correct,球L,0.676,0.59,0.213,mixed,hit,correct,球L,1.019,0.433,0.264,correct_only,hit,1.019,1.019,0.675,0.675
2026_08_20/000,12,白杯2,1.0–2.5°,clear,,2.03,2.31,1,correct,白杯2,1.003,0.664,0.268,mixed,hit,correct,白杯2,1.003,0.469,0.655,mixed,hit,1.003,1.003,1.021,1.022
2026_08_20/001,1,球R,1.0–2.5°,clear,,1.28,2.72,0,correct,球R,1.082,0.649,0.111,correct_only,hit,correct,球R,1.085,0.469,0.174,correct_only,hit,1.082,1.085,,0.026
2026_08_20/001,2,球R,1.0–2.5°,clear,,1.28,3.19,0,none,,,,,none,hit,none,,,,,none,hit,0.556,0.564,,
2026_08_20/001,3,苹果红,<1.0°,clear,,0.13,,0,unknown,,,,,unknown,miss,unknown,,,,,unknown,miss,,,,
2026_08_20/001,4,球L,1.0–2.5°,clear,,1.03,3.13,0,wrong,苹果粉,0.239,0.687,0.485,mixed,hit,wrong,苹果粉,0.798,0.76,0.148,wrong_only,hit,1.489,1.503,0.239,0.798
2026_08_20/001,5,苹果粉,1.0–2.5°,clear,,1.31,3.22,0,correct,苹果粉,0.95,0.865,0.117,correct_only,hit,correct,苹果粉,1.875,0.865,0.06,correct_only,hit,0.95,1.875,,
2026_08_20/001,6,白杯1,1.0–2.5°,clear,,1.28,,0,unknown,,,,,unknown,miss,unknown,,,,,unknown,miss,,,,
2026_08_20/001,7,球M,<1.0°,clear,,0.89,3.27,0,correct,球M,0.912,0.628,0.071,correct_only,hit,none,,,,,none,hit,1.001,1.02,,
2026_08_20/001,8,白杯1,1.0–2.5°,clear,,1.28,,0,unknown,,,,,unknown,miss,unknown,,,,,unknown,miss,,,,
2026_08_20/001,9,苹果粉,1.0–2.5°,clear,,1.31,3.3,0,correct,苹果粉,0.369,0.776,0.257,correct_only,hit,correct,苹果粉,1.042,0.814,0.092,correct_only,hit,0.369,1.042,,
2026_08_20/001,10,球R,1.0–2.5°,clear,,1.28,3.28,0,correct,球R,1.283,0.448,0.282,correct_only,hit,wrong,苹果粉,1.447,0.567,0.514,wrong_only,hit,1.283,1.346,0.735,1.447
2026_08_20/001,11,球M,<1.0°,clear,,0.89,3.25,0,correct,球M,0.32,0.668,0.175,correct_only,hit,none,,,,,none,hit,0.877,0.922,0.045,0.086
2026_08_20/001,12,白杯2,,clear,,,3.27,0,correct,白杯2,0.897,0.472,0.921,correct_only,hit,none,,,,,none,hit,0.897,0.908,,0.773
