rec,k,target,tier,occl,flags,theta_unit,dist_m,reliable,v2s15_first,v2s15_obj,v2s15_cap,v2s15_share,v2s15_A,v2s15_any,v2s15_lcs,mass15_first,mass15_obj,mass15_cap,mass15_share,mass15_A,mass15_any,mass15_lcs,v2s15_best_target_cap,mass15_best_target_cap,v2s15_best_wrong_cap,mass15_best_wrong_cap
2026_08_16/s4,10,球M,≥2.5°,clear,,2.82,3.81,1,wrong,球R,0.227,1.0,0.0,wrong_only,miss,wrong,球R,0.227,1.0,0.0,wrong_only,miss,,,0.828,0.828
2026_08_16/s4,11,球R,1.0–2.5°,clear,,1.28,3.8,1,wrong,球M,1.062,0.556,0.202,mixed,hit,wrong,球M,1.062,0.556,0.135,mixed,hit,0.443,0.443,1.062,1.062
2026_08_16/s4,12,球R,1.0–2.5°,clear,,1.28,3.91,1,correct,球R,0.477,0.792,0.327,correct_only,hit,correct,球R,0.477,0.792,0.327,correct_only,hit,0.477,0.477,,
2026_08_16/s4,13,球M,≥2.5°,clear,,2.82,3.81,1,correct,球M,1.18,0.936,0.019,correct_only,hit,correct,球M,1.18,0.936,0.019,correct_only,hit,1.18,1.18,,
2026_08_16/s4,14,球L,1.0–2.5°,clear,,1.67,3.77,1,correct,球L,1.009,0.725,0.169,correct_only,hit,correct,球L,1.009,0.725,0.06,correct_only,hit,1.009,1.009,,
2026_08_16/s4,15,球L,1.0–2.5°,clear,,1.67,3.77,1,correct,球L,0.684,0.581,0.164,correct_only,hit,correct,球L,0.684,0.581,0.135,correct_only,hit,0.822,0.822,,
2026_08_16/s6,1,球L,<1.0°,clear,,0.56,4.43,1,correct,球L,0.683,0.669,0.283,correct_only,hit,correct,球L,0.683,0.669,0.283,correct_only,hit,1.124,1.124,,
2026_08_16/s6,2,球M,1.0–2.5°,clear,,1.79,4.53,1,correct,球M,0.971,0.745,0.256,correct_only,hit,correct,球M,0.971,0.745,0.256,correct_only,hit,0.971,0.971,,
2026_08_16/s6,3,球R,1.0–2.5°,clear,,1.85,4.58,1,correct,球R,0.398,0.708,0.239,correct_only,hit,correct,球R,0.398,0.708,0.239,correct_only,hit,0.398,0.398,,
2026_08_16/s6,4,球R,1.0–2.5°,clear,,1.85,4.54,1,correct,球R,0.577,0.745,0.305,correct_only,hit,correct,球R,0.577,0.745,0.305,correct_only,hit,0.577,0.577,,
2026_08_16/s6,5,球M,1.0–2.5°,clear,,1.79,4.46,1,correct,球M,1.301,0.747,0.272,correct_only,hit,correct,球M,1.301,0.747,0.272,correct_only,hit,1.301,1.301,,
2026_08_16/s6,6,球R,1.0–2.5°,clear,,1.85,4.54,1,correct,球R,0.432,0.526,0.431,mixed,hit,correct,球R,0.432,0.526,0.431,mixed,hit,0.432,0.432,1.292,1.292
2026_08_16/s6,7,球R,1.0–2.5°,clear,,1.85,4.6,1,correct,球R,0.618,0.543,0.43,correct_only,hit,correct,球R,0.618,0.543,0.43,correct_only,hit,0.618,0.618,,
2026_08_16/s6,8,球M,1.0–2.5°,clear,,1.79,4.55,1,correct,球M,0.927,0.789,0.16,correct_only,hit,correct,球M,0.927,0.789,0.16,correct_only,hit,0.927,0.927,,
2026_08_16/s6,9,球L,<1.0°,clear,,0.56,4.45,1,correct,球L,1.142,0.633,0.248,correct_only,hit,correct,球L,1.142,0.633,0.07,correct_only,hit,1.142,1.142,,
2026_08_16/s6,10,球M,1.0–2.5°,clear,,1.79,4.51,1,correct,球M,1.34,0.662,0.368,correct_only,hit,correct,球M,1.34,0.662,0.368,correct_only,hit,1.34,1.34,,
2026_08_16/s6,11,球L,<1.0°,clear,,0.56,4.41,1,correct,球L,1.278,0.639,0.344,mixed,hit,correct,球L,1.278,0.639,0.344,mixed,hit,1.402,1.402,1.368,1.368
2026_08_16/s6,12,球M,1.0–2.5°,clear,,1.79,4.55,1,correct,球M,1.58,0.692,0.365,correct_only,hit,correct,球M,1.58,0.692,0.365,correct_only,hit,1.58,1.58,0.662,0.662
2026_08_16/s6,13,球L,<1.0°,clear,,0.56,4.48,1,wrong,球M,1.126,0.627,0.325,mixed,hit,wrong,球M,1.126,0.627,0.325,mixed,hit,1.389,1.389,1.608,1.608
2026_08_16/s6,14,球R,1.0–2.5°,clear,,1.85,4.53,1,correct,球R,0.733,0.493,0.638,mixed,hit,correct,球R,0.733,0.493,0.638,mixed,hit,1.057,1.057,1.674,1.674
