rec,card,era,flags,cfg,k,target,size,theta_unit,tier,occl,walking,stress,window_src,reliable,lcs,has_window,win_start_rel,win_end_rel,n_finals,n_obj_finals,n_acc,n_acc_e2,outcome_first,first_obj,first_lat_end,first_lat_start,first_lat_stare,first_share,first_capture,first_A,first_p_none,first_dur,outcome_any,any_correct,any_wrong,flip_wrong_then_correct,flip_correct_then_wrong,wrong_objs,first_e2,ungated_first,ungated_majority,best_target_capture,best_wrong_capture,best_target_share,best_wrong_share,dist_m
2026_08_16/s3,s3,v7,,vis,7,球L,ball(3cm),2.0,1.0–2.5°,clear,0,0,schedule,1,hit,1,59.69,65.49,4,4,3,3,correct,球L,3.94,2.59,1.44,0.957,0.643,0.014,0.85,1.35,correct_only,1,0,0,0,,correct,correct,correct,1.175,0.102,0.957,0.79,3.34
2026_08_16/s3,s3,v7,,vis,8,球L,ball(3cm),2.0,1.0–2.5°,clear,0,0,schedule,1,hit,1,66.69,72.43,1,1,1,1,correct,球L,5.56,-0.39,3.12,1.0,0.583,0.0,0.87,5.96,correct_only,1,0,0,0,,correct,correct,correct,0.583,,1.0,,3.35
2026_08_16/s3,s3,v7,,vis,9,球M,ball(3cm),3.19,≥2.5°,clear,0,0,schedule,1,hit,1,73.59,79.32,3,3,3,3,correct,球M,2.63,-0.99,0.2,0.981,1.298,0.006,0.727,3.63,correct_only,1,0,0,0,,correct,correct,correct,1.375,,1.0,,3.4
2026_08_16/s3,s3,v7,,vis,10,球R,ball(3cm),1.53,1.0–2.5°,clear,0,0,schedule,1,hit,1,80.48,86.27,3,3,2,2,wrong,球M,3.46,2.49,0.97,1.0,0.256,0.0,0.947,0.97,mixed,1,1,1,0,球M,wrong,wrong,wrong,1.138,0.418,0.825,1.0,3.4
2026_08_16/s3,s3,v7,,vis,11,球L,ball(3cm),2.0,1.0–2.5°,clear,0,0,schedule,1,hit,1,87.43,93.42,2,2,2,2,correct,球L,4.43,0.69,1.74,0.915,0.986,0.027,0.76,3.74,correct_only,1,0,0,0,,correct,correct,correct,0.986,,0.917,,3.35
2026_08_16/s3,s3,v7,,vis,12,球M,ball(3cm),3.19,≥2.5°,clear,0,0,schedule,1,hit,1,94.58,100.52,2,2,1,1,correct,球M,2.66,1.79,0.02,1.0,0.761,0.0,0.917,0.87,correct_only,1,0,0,0,,correct,correct,correct,0.761,,1.0,,4.0
2026_08_16/s3,s3,v7,,vis,13,球R,ball(3cm),1.53,1.0–2.5°,clear,0,0,schedule,1,hit,1,101.68,107.62,2,2,1,1,correct,球R,5.02,-0.78,2.38,1.0,0.299,0.0,0.951,5.8,correct_only,1,0,0,0,,correct,correct,correct,0.299,,1.0,,3.38
2026_08_16/s3,s3,v7,,vis,14,球M,ball(3cm),3.19,≥2.5°,clear,0,0,schedule,1,hit,1,108.78,114.79,3,3,3,3,correct,球M,1.85,1.15,-0.86,1.0,0.266,0.0,0.95,0.7,mixed,1,1,1,1,球L,correct,correct,correct,1.225,0.496,1.0,0.85,3.39
2026_08_16/s3,s3,v7,,vis,15,球R,ball(3cm),1.53,1.0–2.5°,clear,0,0,schedule,1,hit,1,115.95,121.92,1,1,1,1,correct,球R,6.47,-0.63,3.8,0.945,0.86,0.042,0.851,7.1,correct_only,1,0,0,0,,correct,correct,correct,0.86,,0.945,,3.38
2026_08_16/s4,s4,v8,,vis,1,球L,ball(3cm),1.67,1.0–2.5°,clear,0,0,schedule,1,hit,1,15.68,21.4,2,2,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.083,,1.0,,3.81
