rec,card,era,flags,cfg,k,target,size,theta_unit,tier,occl,walking,stress,window_src,reliable,lcs,has_window,win_start_rel,win_end_rel,n_finals,n_obj_finals,n_acc,n_acc_e2,outcome_first,first_obj,first_lat_end,first_lat_start,first_lat_stare,first_share,first_capture,first_A,first_p_none,first_dur,outcome_any,any_correct,any_wrong,flip_wrong_then_correct,flip_correct_then_wrong,wrong_objs,first_e2,ungated_first,ungated_majority,best_target_capture,best_wrong_capture,best_target_share,best_wrong_share,dist_m
2026_08_16/s4,s4,v8,,naive,3,球M,ball(3cm),2.82,≥2.5°,clear,0,0,schedule,1,hit,1,29.5,35.29,6,6,6,6,wrong,球L,0.85,0.25,-1.64,1.0,,,0.744,0.6,mixed,1,1,1,0,球L,wrong,wrong,wrong,0.0,0.0,1.0,1.0,3.81
2026_08_16/s4,s4,v8,,naive,4,球R,ball(3cm),1.28,1.0–2.5°,clear,0,0,schedule,1,hit,1,36.45,42.22,5,5,5,5,wrong,香蕉,1.24,0.54,-1.23,1.0,,,0.928,0.7,mixed,1,1,1,0,球M|香蕉,wrong,wrong,correct,0.0,0.0,1.0,1.0,3.89
2026_08_16/s4,s4,v8,,naive,5,球R,ball(3cm),1.28,1.0–2.5°,clear,0,0,schedule,1,hit,1,43.38,49.06,3,3,3,3,correct,球R,3.43,-1.77,1.05,1.0,,,0.925,5.2,correct_only,1,0,0,0,,correct,correct,correct,0.0,,1.0,,3.83
2026_08_16/s4,s4,v8,,naive,6,球M,ball(3cm),2.82,≥2.5°,clear,0,0,schedule,1,hit,1,50.22,55.97,5,5,5,5,wrong,球R,1.26,0.67,-1.19,1.0,,,0.814,0.6,mixed,1,1,1,0,球R,wrong,wrong,correct,0.0,0.0,1.0,1.0,3.87
2026_08_16/s4,s4,v8,,naive,7,球M,ball(3cm),2.82,≥2.5°,clear,0,0,schedule,1,hit,1,57.13,62.9,4,4,4,4,correct,球M,1.75,1.48,-0.72,1.0,,,0.767,0.27,mixed,1,1,0,1,香蕉,correct,correct,correct,0.0,0.0,1.0,1.0,3.9
2026_08_16/s4,s4,v8,,naive,8,球L,ball(3cm),1.67,1.0–2.5°,clear,0,0,schedule,1,hit,1,72.63,78.38,3,3,3,3,wrong,球M,0.46,0.05,-1.99,1.0,,,0.761,0.41,mixed,1,1,1,0,球M,wrong,wrong,correct,0.0,0.0,1.0,1.0,3.79
2026_08_16/s4,s4,v8,,naive,9,球R,ball(3cm),1.28,1.0–2.5°,clear,0,0,schedule,1,hit,1,79.54,85.21,4,4,4,4,wrong,球L,0.57,0.11,-1.8,1.0,,,0.903,0.47,mixed,1,1,1,0,球L,wrong,wrong,correct,0.0,0.0,1.0,1.0,3.79
2026_08_16/s4,s4,v8,,naive,10,球M,ball(3cm),2.82,≥2.5°,clear,0,0,schedule,1,miss,1,86.37,92.19,3,3,3,3,wrong,球R,1.12,0.6,-1.4,1.0,,,0.942,0.52,wrong_only,0,1,0,0,球R,wrong,wrong,wrong,,0.0,,1.0,3.81
2026_08_16/s4,s4,v8,,naive,11,球R,ball(3cm),1.28,1.0–2.5°,clear,0,0,schedule,1,hit,1,93.35,99.29,3,3,3,3,wrong,球M,2.16,1.78,-0.48,1.0,,,0.677,0.39,mixed,1,1,1,0,球M,wrong,wrong,correct,0.0,0.0,1.0,1.0,3.8
2026_08_16/s4,s4,v8,,naive,12,球R,ball(3cm),1.28,1.0–2.5°,clear,0,0,schedule,1,hit,1,100.45,106.37,1,1,1,1,correct,球R,6.29,2.66,3.67,1.0,,,0.836,3.63,correct_only,1,0,0,0,,correct,correct,correct,0.0,,1.0,,3.91
