rec,card,era,flags,cfg,k,target,size,theta_unit,tier,occl,walking,stress,window_src,reliable,lcs,has_window,win_start_rel,win_end_rel,n_finals,n_obj_finals,n_acc,n_acc_e2,outcome_first,first_obj,first_lat_end,first_lat_start,first_lat_stare,first_share,first_capture,first_A,first_p_none,first_dur,outcome_any,any_correct,any_wrong,flip_wrong_then_correct,flip_correct_then_wrong,wrong_objs,first_e2,ungated_first,ungated_majority,ungated_majority_obj,ungated_majority_dur,gated_majority,gated_majority_obj,gated_majority_dur,best_target_capture,best_wrong_capture,best_target_share,best_wrong_share,dist_m
2026_08_16/s2,s2,v7,,noocc15,8,球L,ball(3cm),2.85,≥2.5°,clear,0,0,schedule,1,hit,1,66.69,72.44,1,1,1,1,correct,球L,5.46,-0.39,3.01,0.632,1.289,0.243,0.614,5.85,correct_only,1,0,0,0,,correct,correct,correct,球L,5.85,correct,球L,5.85,1.289,,0.632,,2.47
2026_08_16/s2,s2,v7,,noocc15,9,球R,ball(3cm),2.55,≥2.5°,clear,0,0,schedule,1,hit,1,73.6,79.28,1,1,1,1,correct,球R,5.49,2.89,3.11,0.865,1.457,0.113,0.8,2.6,correct_only,1,0,0,0,,correct,correct,correct,球R,2.6,correct,球R,2.6,1.457,,0.865,,2.55
2026_08_16/s2,s2,v7,,noocc15,10,球R,ball(3cm),2.55,≥2.5°,clear,0,0,schedule,1,hit,1,80.44,86.23,3,3,3,3,correct,球R,2.77,-0.37,0.28,0.728,1.689,0.271,0.724,3.14,correct_only,1,0,0,0,,correct,correct,correct,球R,5.15,correct,球R,5.15,1.689,,0.789,,2.52
2026_08_16/s2,s2,v7,,noocc15,11,球M,ball(3cm),4.47,≥2.5°,clear,0,0,schedule,1,hit,1,87.39,93.38,5,5,5,5,correct,球M,1.73,1.3,-0.96,0.976,1.622,0.007,0.728,0.43,correct_only,1,0,0,0,,correct,correct,correct,球M,3.52,correct,球M,3.52,1.732,,1.0,,2.39
2026_08_16/s2,s2,v7,,noocc15,12,球L,ball(3cm),2.85,≥2.5°,clear,0,0,schedule,1,hit,1,94.54,100.51,3,3,3,3,correct,球L,3.72,-0.84,1.05,0.734,1.333,0.087,0.656,4.56,correct_only,1,0,0,0,,correct,correct,correct,球L,5.97,correct,球L,5.97,1.333,,0.734,,2.47
2026_08_16/s2,s2,v7,,noocc15,13,球M,ball(3cm),4.47,≥2.5°,clear,0,0,schedule,1,hit,1,101.67,107.63,3,3,3,3,correct,球M,3.45,3.01,0.79,1.0,1.47,0.0,0.759,0.43,correct_only,1,0,0,0,,correct,correct,correct,球M,2.65,correct,球M,2.65,1.736,,1.0,,2.4
2026_08_16/s2,s2,v7,,noocc15,14,球L,ball(3cm),2.85,≥2.5°,clear,0,0,schedule,1,hit,1,108.79,114.8,3,3,3,3,correct,球L,4.47,0.78,1.76,0.556,1.174,0.276,0.6,3.68,mixed,1,1,1,1,香蕉,correct,correct,correct,球L,4.55,correct,球L,4.55,1.317,0.263,0.678,0.673,2.47
2026_08_16/s2,s2,v7,,noocc15,15,球L,ball(3cm),2.85,≥2.5°,clear,0,0,schedule,1,hit,1,115.96,121.97,3,3,3,3,correct,球L,2.75,1.51,0.04,0.588,1.277,0.291,0.589,1.25,mixed,1,1,0,1,球M,correct,correct,correct,球L,2.55,correct,球L,2.55,1.291,0.503,0.616,0.557,2.46
2026_08_16/s3,s3,v7,,noocc15,1,球M,ball(3cm),3.19,≥2.5°,clear,0,0,schedule,1,hit,1,18.24,23.94,4,4,4,4,correct,球M,2.43,1.83,0.03,1.0,0.245,0.0,0.978,0.6,correct_only,1,0,0,0,,correct,correct,correct,球M,2.55,correct,球M,2.55,0.548,,1.0,,3.45
2026_08_16/s3,s3,v7,,noocc15,2,球L,ball(3cm),2.0,1.0–2.5°,clear,0,0,schedule,1,hit,1,25.1,30.88,2,2,2,2,correct,球L,2.69,-0.83,0.21,0.778,1.022,0.078,0.856,3.52,correct_only,1,0,0,0,,correct,correct,correct,球L,5.69,correct,球L,5.69,1.022,,0.81,,3.35
2026_08_16/s3,s3,v7,,noocc15,3,球L,ball(3cm),2.0,1.0–2.5°,clear,0,0,schedule,1,hit,1,32.04,37.86,2,2,2,2,correct,球L,5.14,1.13,2.62,0.82,1.01,0.098,0.865,4.01,correct_only,1,0,0,0,,correct,correct,correct,球L,4.55,correct,球L,4.55,1.01,,0.912,,3.35
2026_08_16/s3,s3,v7,,noocc15,4,球M,ball(3cm),3.19,≥2.5°,clear,0,0,schedule,1,hit,1,39.02,44.84,4,4,4,4,correct,球M,1.62,1.3,-0.9,0.762,1.346,0.066,0.839,0.32,correct_only,1,0,0,0,,correct,correct,correct,球M,2.17,correct,球M,2.17,2.009,,0.966,,3.91
2026_08_16/s3,s3,v7,,noocc15,5,球R,ball(3cm),1.53,1.0–2.5°,clear,0,0,schedule,1,hit,1,46.0,51.67,1,1,1,1,correct,球R,5.49,-0.85,3.12,0.779,1.073,0.225,0.901,6.34,correct_only,1,0,0,0,,correct,correct,correct,球R,6.34,correct,球R,6.34,1.073,,0.779,,3.4
2026_08_16/s3,s3,v7,,noocc15,6,球R,ball(3cm),1.53,1.0–2.5°,clear,0,0,schedule,1,hit,1,52.83,58.53,1,1,1,1,correct,球R,5.63,-0.82,3.23,0.764,1.165,0.244,0.89,6.45,correct_only,1,0,0,0,,correct,correct,correct,球R,6.45,correct,球R,6.45,1.165,,0.764,,3.39
2026_08_16/s3,s3,v7,,noocc15,7,球L,ball(3cm),2.0,1.0–2.5°,clear,0,0,schedule,1,hit,1,59.69,65.49,4,4,3,3,correct,球L,3.94,2.59,1.44,0.74,1.117,0.108,0.834,1.35,correct_only,1,0,0,0,,correct,correct,correct,球L,2.54,correct,球L,2.54,1.478,0.52,0.74,0.223,3.34
2026_08_16/s3,s3,v7,,noocc15,8,球L,ball(3cm),2.0,1.0–2.5°,clear,0,0,schedule,1,hit,1,66.69,72.43,1,1,1,1,correct,球L,5.56,-0.39,3.12,0.81,1.052,0.112,0.858,5.96,correct_only,1,0,0,0,,correct,correct,correct,球L,5.96,correct,球L,5.96,1.052,,0.81,,3.35
2026_08_16/s3,s3,v7,,noocc15,9,球M,ball(3cm),3.19,≥2.5°,clear,0,0,schedule,1,hit,1,73.59,79.32,3,3,3,3,correct,球M,2.63,-0.99,0.2,0.846,1.84,0.04,0.802,3.63,correct_only,1,0,0,0,,correct,correct,correct,球M,6.39,correct,球M,6.39,1.893,,0.955,,3.4
2026_08_16/s3,s3,v7,,noocc15,10,球R,ball(3cm),1.53,1.0–2.5°,clear,0,0,schedule,1,hit,1,80.48,86.27,3,3,2,2,wrong,球M,3.46,2.49,0.97,0.786,0.88,0.165,0.898,0.97,mixed,1,1,1,0,球M,wrong,wrong,wrong,球M,0.97,wrong,球M,0.97,1.685,0.935,0.622,0.786,3.4
