rec,card,era,flags,cfg,t_start_rel,t_end_rel,dur_s,dist_m,object,object_label,share,q,capture,A_cap,A_share,p_none,surface,W,acc_live,acc_e2,window_k,target,correct,n_cands,candidates
2026_08_16/s4,s4,v8,,noocc15,97.71,102.7,4.98,3.796,球R,193,0.744,0.0667,0.732,0.419,0.288,0.91,object#17,389.5337,1,1,11,球R,1,3,"[{""name"": ""球R"", ""m"": 25.96715, ""q"": 0.0667, ""c"": 0.091, ""capture"": 0.732, ""share"": 0.744, ""miss_deg"": 1.18, ""labels"": [193]}, {""name"": ""石榴"", ""m"": 7.46332, ""q"": 0.0192, ""c"": 0.0623, ""capture"": 0.307, ""share"": 0.214, ""miss_deg"": 2.3, ""labels"": [195]}, {""name"": ""球M"", ""m"": 1.45718, ""q"": 0.0037, ""c"": 0.091, ""capture"": 0.041, ""share"": 0.042, ""miss_deg"": 3.79, ""labels"": [192]}]"
2026_08_16/s4,s4,v8,,noocc15,103.11,106.74,3.63,3.913,球R,193,0.736,0.0664,0.729,0.403,0.276,0.91,object#17,389.5337,1,1,12,球R,1,3,"[{""name"": ""球R"", ""m"": 25.8601, ""q"": 0.0664, ""c"": 0.091, ""capture"": 0.729, ""share"": 0.736, ""miss_deg"": 1.19, ""labels"": [193]}, {""name"": ""石榴"", ""m"": 7.13203, ""q"": 0.0183, ""c"": 0.0623, ""capture"": 0.294, ""share"": 0.203, ""miss_deg"": 2.35, ""labels"": [195]}, {""name"": ""球M"", ""m"": 2.155, ""q"": 0.0055, ""c"": 0.091, ""capture"": 0.061, ""share"": 0.061, ""miss_deg"": 3.55, ""labels"": [192]}]"
2026_08_16/s4,s4,v8,,noocc15,106.8,107.17,0.38,3.807,球M,192,0.593,0.0472,0.519,0.518,0.518,0.92,object#17,389.5337,1,1,,,,3,"[{""name"": ""球M"", ""m"": 18.38547, ""q"": 0.0472, ""c"": 0.091, ""capture"": 0.519, ""share"": 0.593, ""miss_deg"": 1.72, ""labels"": [192]}, {""name"": ""球R"", ""m"": 9.52594, ""q"": 0.0245, ""c"": 0.091, ""capture"": 0.269, ""share"": 0.307, ""miss_deg"": 2.43, ""labels"": [193]}, {""name"": ""石榴"", ""m"": 3.10422, ""q"": 0.008, ""c"": 0.0623, ""capture"": 0.128, ""share"": 0.1, ""miss_deg"": 3.04, ""labels"": [195]}]"
2026_08_16/s4,s4,v8,,noocc15,107.23,109.72,2.49,3.819,球R,193,0.801,0.072,0.791,0.357,0.245,0.91,object#17,389.5337,1,1,,,,3,"[{""name"": ""球R"", ""m"": 28.04954, ""q"": 0.072, ""c"": 0.091, ""capture"": 0.791, ""share"": 0.801, ""miss_deg"": 1.03, ""labels"": [193]}, {""name"": ""石榴"", ""m"": 6.84582, ""q"": 0.0176, ""c"": 0.0623, ""capture"": 0.282, ""share"": 0.196, ""miss_deg"": 2.39, ""labels"": [195]}, {""name"": ""球M"", ""m"": 0.11629, ""q"": 0.0003, ""c"": 0.091, ""capture"": 0.003, ""share"": 0.003, ""miss_deg"": 5.07, ""labels"": [192]}]"
2026_08_16/s4,s4,v8,,noocc15,110.28,112.5,2.22,3.812,球M,192,0.923,0.1487,1.634,0.023,0.078,0.839,object#17,389.5337,1,1,13,球M,1,4,"[{""name"": ""球M"", ""m"": 57.92505, ""q"": 0.1487, ""c"": 0.091, ""capture"": 1.634, ""share"": 0.923, ""miss_deg"": 0.0, ""labels"": [192]}, {""name"": ""香蕉"", ""m"": 4.4918, ""q"": 0.0115, ""c"": 0.3157, ""capture"": 0.037, ""share"": 0.072, ""miss_deg"": 3.86, ""labels"": [196]}, {""name"": ""苹果"", ""m"": 0.29639, ""q"": 0.0008, ""c"": 0.091, ""capture"": 0.008, ""share"": 0.005, ""miss_deg"": 4.64, ""labels"": [194]}, {""name"": ""球L"", ""m"": 0.01402, ""q"": 0.0, ""c"": 0.091, ""capture"": 0.0, ""share"": 0.0, ""miss_deg"": 5.94, ""labels"": [191]}]"
2026_08_16/s4,s4,v8,,noocc15,113.05,115.11,2.06,3.818,球M,192,0.918,0.1495,1.642,0.024,0.082,0.837,object#17,389.5337,1,1,,,,4,"[{""name"": ""球M"", ""m"": 58.22014, ""q"": 0.1495, ""c"": 0.091, ""capture"": 1.642, ""share"": 0.918, ""miss_deg"": 0.0, ""labels"": [192]}, {""name"": ""香蕉"", ""m"": 4.78552, ""q"": 0.0123, ""c"": 0.3157, ""capture"": 0.039, ""share"": 0.075, ""miss_deg"": 3.82, ""labels"": [196]}, {""name"": ""苹果"", ""m"": 0.37549, ""q"": 0.001, ""c"": 0.091, ""capture"": 0.011, ""share"": 0.006, ""miss_deg"": 4.52, ""labels"": [194]}, {""name"": ""球L"", ""m"": 0.01647, ""q"": 0.0, ""c"": 0.091, ""capture"": 0.0, ""share"": 0.0, ""miss_deg"": 5.88, ""labels"": [191]}]"
2026_08_16/s4,s4,v8,,noocc15,117.45,121.02,3.57,3.775,球L,191,0.662,0.1248,1.371,0.183,0.183,0.812,object#36,389.5337,1,1,14,球L,1,4,"[{""name"": ""球L"", ""m"": 48.61419, ""q"": 0.1248, ""c"": 0.091, ""capture"": 1.371, ""share"": 0.662, ""miss_deg"": 0.0, ""labels"": [191]}, {""name"": ""苹果"", ""m"": 8.89343, ""q"": 0.0228, ""c"": 0.091, ""capture"": 0.251, ""share"": 0.121, ""miss_deg"": 2.49, ""labels"": [194]}, {""name"": ""香蕉"", ""m"": 15.87368, ""q"": 0.0408, ""c"": 0.3157, ""capture"": 0.129, ""share"": 0.216, ""miss_deg"": 3.04, ""labels"": [196]}, {""name"": ""球M"", ""m"": 0.00166, ""q"": 0.0, ""c"": 0.091, ""capture"": 0.0, ""share"": 0.0, ""miss_deg"": 6.7, ""labels"": [192]}]"
2026_08_16/s4,s4,v8,,noocc15,121.08,121.89,0.81,3.79,球L,191,0.622,0.0869,0.954,0.13,0.45,0.86,object#27,389.5337,1,1,,,,4,"[{""name"": ""球L"", ""m"": 33.83452, ""q"": 0.0869, ""c"": 0.091, ""capture"": 0.954, ""share"": 0.622, ""miss_deg"": 0.46, ""labels"": [191]}, {""name"": ""香蕉"", ""m"": 15.22429, ""q"": 0.0391, ""c"": 0.3157, ""capture"": 0.124, ""share"": 0.28, ""miss_deg"": 3.07, ""labels"": [196]}, {""name"": ""苹果"", ""m"": 3.65899, ""q"": 0.0094, ""c"": 0.091, ""capture"": 0.103, ""share"": 0.067, ""miss_deg"": 3.2, ""labels"": [194]}, {""name"": ""球M"", ""m"": 1.673, ""q"": 0.0043, ""c"": 0.091, ""capture"": 0.047, ""share"": 0.031, ""miss_deg"": 3.71, ""labels"": [192]}]"
2026_08_16/s4,s4,v8,,noocc15,122.08,122.68,0.6,3.803,球L,191,0.526,0.0947,1.04,0.2,0.2,0.82,object#27,389.5337,1,1,15,球L,1,4,"[{""name"": ""球L"", ""m"": 36.88312, ""q"": 0.0947, ""c"": 0.091, ""capture"": 1.04, ""share"": 0.526, ""miss_deg"": 0.0, ""labels"": [191]}, {""name"": ""苹果"", ""m"": 7.38764, ""q"": 0.019, ""c"": 0.091, ""capture"": 0.208, ""share"": 0.105, ""miss_deg"": 2.66, ""labels"": [194]}, {""name"": ""香蕉"", ""m"": 21.27157, ""q"": 0.0546, ""c"": 0.3157, ""capture"": 0.173, ""share"": 0.304, ""miss_deg"": 2.81, ""labels"": [196]}, {""name"": ""球M"", ""m"": 4.52699, ""q"": 0.0116, ""c"": 0.091, ""capture"": 0.128, ""share"": 0.065, ""miss_deg"": 3.04, ""labels"": [192]}]"
2026_08_16/s4,s4,v8,,noocc15,122.73,123.11,0.38,3.778,球L,191,0.69,0.1091,1.198,0.128,0.128,0.842,object#36,389.5337,1,1,15,球L,1,4,"[{""name"": ""球L"", ""m"": 42.49152, ""q"": 0.1091, ""c"": 0.091, ""capture"": 1.198, ""share"": 0.69, ""miss_deg"": 0.0, ""labels"": [191]}, {""name"": ""苹果"", ""m"": 5.42451, ""q"": 0.0139, ""c"": 0.091, ""capture"": 0.153, ""share"": 0.088, ""miss_deg"": 2.91, ""labels"": [194]}, {""name"": ""香蕉"", ""m"": 13.66099, ""q"": 0.0351, ""c"": 0.3157, ""capture"": 0.111, ""share"": 0.222, ""miss_deg"": 3.14, ""labels"": [196]}, {""name"": ""球M"", ""m"": 0.01179, ""q"": 0.0, ""c"": 0.091, ""capture"": 0.0, ""share"": 0.0, ""miss_deg"": 6.0, ""labels"": [192]}]"
2026_08_16/s4,s4,v8,,noocc15,123.44,124.14,0.7,3.745,球L,191,0.65,0.1344,1.226,0.254,0.211,0.793,object#36,389.5337,1,1,15,球L,1,4,"[{""name"": ""球L"", ""m"": 52.36187, ""q"": 0.1344, ""c"": 0.1097, ""capture"": 1.226, ""share"": 0.65, ""miss_deg"": 0.0, ""labels"": [191]}, {""name"": ""苹果"", ""m"": 11.05058, ""q"": 0.0284, ""c"": 0.091, ""capture"": 0.312, ""share"": 0.137, ""miss_deg"": 2.29, ""labels"": [194]}, {""name"": ""香蕉"", ""m"": 17.19206, ""q"": 0.0441, ""c"": 0.3157, ""capture"": 0.14, ""share"": 0.213, ""miss_deg"": 2.98, ""labels"": [196]}, {""name"": ""球M"", ""m"": 0.00077, ""q"": 0.0, ""c"": 0.091, ""capture"": 0.0, ""share"": 0.0, ""miss_deg"": 6.95, ""labels"": [192]}]"
2026_08_16/s4,s4,v8,,noocc15,124.62,128.68,4.06,3.767,球L,191,0.722,0.1041,1.144,0.125,0.125,0.856,object#36,389.5337,1,1,15,球L,1,3,"[{""name"": ""球L"", ""m"": 40.56209, ""q"": 0.1041, ""c"": 0.091, ""capture"": 1.144, ""share"": 0.722, ""miss_deg"": 0.0, ""labels"": [191]}, {""name"": ""苹果"", ""m"": 5.06606, ""q"": 0.013, ""c"": 0.091, ""capture"": 0.143, ""share"": 0.09, ""miss_deg"": 2.96, ""labels"": [194]}, {""name"": ""香蕉"", ""m"": 10.54498, ""q"": 0.0271, ""c"": 0.3157, ""capture"": 0.086, ""share"": 0.188, ""miss_deg"": 3.32, ""labels"": [196]}]"
2026_08_16/s4,s4,v8,,noocc15,128.73,129.0,0.27,3.794,球L,191,0.413,0.0664,0.729,0.442,0.441,0.839,object#27,389.5337,1,0,,,,4,"[{""name"": ""球L"", ""m"": 25.86396, ""q"": 0.0664, ""c"": 0.091, ""capture"": 0.729, ""share"": 0.413, ""miss_deg"": 1.19, ""labels"": [191]}, {""name"": ""球M"", ""m"": 11.41093, ""q"": 0.0293, ""c"": 0.091, ""capture"": 0.322, ""share"": 0.182, ""miss_deg"": 2.26, ""labels"": [192]}, {""name"": ""香蕉"", ""m"": 19.69137, ""q"": 0.0506, ""c"": 0.3157, ""capture"": 0.16, ""share"": 0.314, ""miss_deg"": 2.87, ""labels"": [196]}, {""name"": ""苹果"", ""m"": 5.65433, ""q"": 0.0145, ""c"": 0.091, ""capture"": 0.159, ""share"": 0.09, ""miss_deg"": 2.87, ""labels"": [194]}]"
2026_08_16/s4,s4,v8,,noocc15,129.06,131.55,2.49,3.77,球L,191,0.678,0.1007,1.106,0.117,0.117,0.852,object#27,389.5337,1,1,,,,4,"[{""name"": ""球L"", ""m"": 39.21728, ""q"": 0.1007, ""c"": 0.091, ""capture"": 1.106, ""share"": 0.678, ""miss_deg"": 0.0, ""labels"": [191]}, {""name"": ""苹果"", ""m"": 4.58763, ""q"": 0.0118, ""c"": 0.091, ""capture"": 0.129, ""share"": 0.079, ""miss_deg"": 3.03, ""labels"": [194]}, {""name"": ""香蕉"", ""m"": 13.9027, ""q"": 0.0357, ""c"": 0.3157, ""capture"": 0.113, ""share"": 0.24, ""miss_deg"": 3.13, ""labels"": [196]}, {""name"": ""球M"", ""m"": 0.10809, ""q"": 0.0003, ""c"": 0.091, ""capture"": 0.003, ""share"": 0.002, ""miss_deg"": 5.11, ""labels"": [192]}]"
2026_08_16/s4,s4,v8,,noocc15,132.41,132.73,0.32,4.079,,-1,0.0,0.0,,,,1.0,object#25,389.5337,0,0,,,,0,[]
2026_08_16/s6,s6,v8,,noocc15,10.95,11.22,0.27,3.796,球M,192,0.486,0.0486,0.534,0.758,0.759,0.9,object#17,389.5337,1,0,,,,3,"[{""name"": ""球M"", ""m"": 18.9209, ""q"": 0.0486, ""c"": 0.091, ""capture"": 0.534, ""share"": 0.486, ""miss_deg"": 1.68, ""labels"": [192]}, {""name"": ""球R"", ""m"": 14.35938, ""q"": 0.0369, ""c"": 0.091, ""capture"": 0.405, ""share"": 0.369, ""miss_deg"": 2.02, ""labels"": [193]}, {""name"": ""石榴"", ""m"": 5.63828, ""q"": 0.0145, ""c"": 0.0623, ""capture"": 0.232, ""share"": 0.145, ""miss_deg"": 2.56, ""labels"": [195]}]"
2026_08_16/s6,s6,v8,,noocc15,13.6,13.98,0.38,4.308,球R,193,0.36,0.0631,1.012,0.89,1.028,0.825,object#17,389.5337,0,0,,,,3,"[{""name"": ""球R"", ""m"": 24.56616, ""q"": 0.0631, ""c"": 0.0623, ""capture"": 1.012, ""share"": 0.36, ""miss_deg"": 0.0, ""labels"": [193]}, {""name"": ""球M"", ""m"": 25.24299, ""q"": 0.0648, ""c"": 0.0719, ""capture"": 0.901, ""share"": 0.37, ""miss_deg"": 0.69, ""labels"": [192]}, {""name"": ""石榴"", ""m"": 18.45511, ""q"": 0.0474, ""c"": 0.0526, ""capture"": 0.9, ""share"": 0.27, ""miss_deg"": 0.69, ""labels"": [195]}]"
2026_08_16/s6,s6,v8,,noocc15,14.04,14.42,0.38,4.35,球R,193,0.833,0.0777,1.246,0.222,0.187,0.907,object#17,389.5337,1,1,,,,3,"[{""name"": ""球R"", ""m"": 30.25374, ""q"": 0.0777, ""c"": 0.0623, ""capture"": 1.246, ""share"": 0.833, ""miss_deg"": 0.0, ""labels"": [193]}, {""name"": ""石榴"", ""m"": 5.6679, ""q"": 0.0146, ""c"": 0.0526, ""capture"": 0.276, ""share"": 0.156, ""miss_deg"": 2.41, ""labels"": [195]}, {""name"": ""球M"", ""m"": 0.39593, ""q"": 0.001, ""c"": 0.0719, ""capture"": 0.014, ""share"": 0.011, ""miss_deg"": 4.38, ""labels"": [192]}]"
