rec,card,era,flags,cfg,t_start_rel,t_end_rel,dur_s,dist_m,object,object_label,share,q,capture,A_cap,A_share,p_none,surface,W,acc_live,acc_e2,window_k,target,correct,n_cands,candidates
2026_08_16/000,e1,v7,,noocc_ng,80.73,81.25,0.52,1.436,球L,320,0.922,0.3932,0.505,0.065,0.085,0.573,object#316,389.6407,1,1,,,,2,"[{""name"": ""球L"", ""m"": 153.19972, ""q"": 0.3932, ""c"": 0.7786, ""capture"": 0.505, ""share"": 0.922, ""miss_deg"": 1.17, ""labels"": [320]}, {""name"": ""香蕉"", ""m"": 13.03584, ""q"": 0.0335, ""c"": 1.0, ""capture"": 0.033, ""share"": 0.078, ""miss_deg"": 2.61, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,noocc_ng,81.3,81.8,0.5,1.483,香蕉,323,1.0,0.5441,0.544,0.0,0.0,0.456,object#316,389.6407,1,1,,,,2,"[{""name"": ""香蕉"", ""m"": 212.01534, ""q"": 0.5441, ""c"": 1.0, ""capture"": 0.544, ""share"": 1.0, ""miss_deg"": 1.1, ""labels"": [323]}, {""name"": ""球L"", ""m"": 0.01696, ""q"": 0.0, ""c"": 0.7541, ""capture"": 0.0, ""share"": 0.0, ""miss_deg"": 4.42, ""labels"": [320]}]"
2026_08_16/000,e1,v7,,noocc_ng,82.49,82.87,0.38,1.386,球M,321,1.0,0.7966,1.043,0.0,0.0,0.203,object#10,389.6407,1,1,,,,1,"[{""name"": ""球M"", ""m"": 310.39605, ""q"": 0.7966, ""c"": 0.7636, ""capture"": 1.043, ""share"": 1.0, ""miss_deg"": 0.0, ""labels"": [321]}]"
2026_08_16/000,e1,v7,,noocc_ng,82.92,83.52,0.6,1.458,球M,321,1.0,0.2958,0.407,0.0,0.0,0.704,object#10,389.6407,1,1,7,球M,1,1,"[{""name"": ""球M"", ""m"": 115.24297, ""q"": 0.2958, ""c"": 0.7272, ""capture"": 0.407, ""share"": 1.0, ""miss_deg"": 1.34, ""labels"": [321]}]"
2026_08_16/000,e1,v7,,noocc_ng,83.58,84.54,0.96,1.431,球M,321,1.0,0.4332,0.579,0.0,0.0,0.567,object#10,389.6407,1,1,7,球M,1,1,"[{""name"": ""球M"", ""m"": 168.80431, ""q"": 0.4332, ""c"": 0.7477, ""capture"": 0.579, ""share"": 1.0, ""miss_deg"": 1.04, ""labels"": [321]}]"
2026_08_16/000,e1,v7,,noocc_ng,84.6,85.03,0.44,1.481,球M,321,1.0,0.3735,0.532,0.0,0.0,0.626,object#10,389.6407,1,1,7,球M,1,1,"[{""name"": ""球M"", ""m"": 145.54286, ""q"": 0.3735, ""c"": 0.7025, ""capture"": 0.532, ""share"": 1.0, ""miss_deg"": 1.12, ""labels"": [321]}]"
2026_08_16/000,e1,v7,,noocc_ng,85.09,85.81,0.72,1.422,球M,321,1.0,0.4268,0.571,0.0,0.0,0.573,object#17,389.6407,1,1,7,球M,1,1,"[{""name"": ""球M"", ""m"": 166.28239, ""q"": 0.4268, ""c"": 0.7477, ""capture"": 0.571, ""share"": 1.0, ""miss_deg"": 1.06, ""labels"": [321]}]"
2026_08_16/000,e1,v7,,noocc_ng,85.86,87.23,1.37,1.488,球M,321,1.0,0.2137,0.304,0.0,0.0,0.786,object#10,389.6407,1,1,7,球M,1,1,"[{""name"": ""球M"", ""m"": 83.24786, ""q"": 0.2137, ""c"": 0.7025, ""capture"": 0.304, ""share"": 1.0, ""miss_deg"": 1.54, ""labels"": [321]}]"
2026_08_16/000,e1,v7,,noocc_ng,87.29,87.79,0.5,1.42,球M,321,1.0,0.433,0.579,0.0,0.0,0.567,object#17,389.6407,1,1,7,球M,1,1,"[{""name"": ""球M"", ""m"": 168.72247, ""q"": 0.433, ""c"": 0.7477, ""capture"": 0.579, ""share"": 1.0, ""miss_deg"": 1.05, ""labels"": [321]}]"
2026_08_16/000,e1,v7,,noocc_ng,87.84,88.28,0.44,1.472,球M,321,1.0,0.3277,0.455,0.0,0.0,0.672,object#17,389.6407,1,1,7,球M,1,1,"[{""name"": ""球M"", ""m"": 127.68883, ""q"": 0.3277, ""c"": 0.7202, ""capture"": 0.455, ""share"": 1.0, ""miss_deg"": 1.25, ""labels"": [321]}]"
2026_08_16/000,e1,v7,,noocc_ng,89.27,91.31,2.04,1.664,石榴,78,1.0,0.3084,0.48,0.0,0.0,0.692,object#17,389.6407,1,1,,,,1,"[{""name"": ""石榴"", ""m"": 120.17168, ""q"": 0.3084, ""c"": 0.6428, ""capture"": 0.48, ""share"": 1.0, ""miss_deg"": 1.21, ""labels"": [78]}]"
2026_08_16/000,e1,v7,,noocc_ng,91.43,94.96,3.53,1.652,石榴,78,1.0,0.1747,0.268,0.0,0.0,0.825,object#17,389.6407,1,1,8,石榴,1,1,"[{""name"": ""石榴"", ""m"": 68.05717, ""q"": 0.1747, ""c"": 0.6512, ""capture"": 0.268, ""share"": 1.0, ""miss_deg"": 1.62, ""labels"": [78]}]"
2026_08_16/000,e1,v7,,noocc_ng,95.48,96.04,0.56,1.494,香蕉,323,1.0,0.5467,0.547,0.0,0.0,0.453,object#316,389.6407,1,1,,,,2,"[{""name"": ""香蕉"", ""m"": 213.02412, ""q"": 0.5467, ""c"": 1.0, ""capture"": 0.547, ""share"": 1.0, ""miss_deg"": 1.1, ""labels"": [323]}, {""name"": ""球L"", ""m"": 0.03446, ""q"": 0.0001, ""c"": 0.7477, ""capture"": 0.0, ""share"": 0.0, ""miss_deg"": 4.25, ""labels"": [320]}]"
2026_08_16/000,e1,v7,,noocc_ng,96.09,96.77,0.68,1.574,香蕉,323,1.0,0.4768,0.477,0.0,0.0,0.523,object#316,389.6407,1,1,,,,2,"[{""name"": ""香蕉"", ""m"": 185.76241, ""q"": 0.4768, ""c"": 1.0, ""capture"": 0.477, ""share"": 1.0, ""miss_deg"": 1.22, ""labels"": [323]}, {""name"": ""苹果"", ""m"": 0.00275, ""q"": 0.0, ""c"": 0.7477, ""capture"": 0.0, ""share"": 0.0, ""miss_deg"": 4.81, ""labels"": [300]}]"
2026_08_16/000,e1,v7,,noocc_ng,96.92,98.03,1.1,1.572,香蕉,323,1.0,0.5015,0.501,0.0,0.0,0.498,object#316,389.6407,1,1,9,香蕉,1,2,"[{""name"": ""香蕉"", ""m"": 195.3859, ""q"": 0.5015, ""c"": 1.0, ""capture"": 0.501, ""share"": 1.0, ""miss_deg"": 1.17, ""labels"": [323]}, {""name"": ""苹果"", ""m"": 0.02523, ""q"": 0.0001, ""c"": 0.7477, ""capture"": 0.0, ""share"": 0.0, ""miss_deg"": 4.33, ""labels"": [300]}]"
2026_08_16/000,e1,v7,,noocc_ng,98.42,99.43,1.01,1.597,香蕉,323,0.997,0.5128,0.513,0.004,0.003,0.486,object#316,389.6407,1,1,9,香蕉,1,2,"[{""name"": ""香蕉"", ""m"": 199.79652, ""q"": 0.5128, ""c"": 1.0, ""capture"": 0.513, ""share"": 0.997, ""miss_deg"": 1.16, ""labels"": [323]}, {""name"": ""苹果"", ""m"": 0.5464, ""q"": 0.0014, ""c"": 0.741, ""capture"": 0.002, ""share"": 0.003, ""miss_deg"": 3.54, ""labels"": [300]}]"
2026_08_16/000,e1,v7,,noocc_ng,99.79,100.65,0.87,1.608,香蕉,323,0.994,0.5307,0.531,0.008,0.006,0.466,object#316,389.6407,1,1,9,香蕉,1,2,"[{""name"": ""香蕉"", ""m"": 206.7692, ""q"": 0.5307, ""c"": 1.0, ""capture"": 0.531, ""share"": 0.994, ""miss_deg"": 1.13, ""labels"": [323]}, {""name"": ""苹果"", ""m"": 1.16404, ""q"": 0.003, ""c"": 0.741, ""capture"": 0.004, ""share"": 0.006, ""miss_deg"": 3.32, ""labels"": [300]}]"
2026_08_16/000,e1,v7,,noocc_ng,101.26,101.76,0.5,1.649,香蕉,323,0.711,0.1955,0.195,0.579,0.406,0.725,object#10,389.6407,0,0,9,香蕉,1,2,"[{""name"": ""香蕉"", ""m"": 76.16247, ""q"": 0.1955, ""c"": 1.0, ""capture"": 0.195, ""share"": 0.711, ""miss_deg"": 1.81, ""labels"": [323]}, {""name"": ""苹果"", ""m"": 30.94157, ""q"": 0.0794, ""c"": 0.7025, ""capture"": 0.113, ""share"": 0.289, ""miss_deg"": 2.09, ""labels"": [300]}]"
2026_08_16/000,e1,v7,,noocc_ng,102.44,105.28,2.83,1.453,球L,320,0.941,0.3802,0.494,0.049,0.063,0.596,object#316,389.6407,1,1,,,,2,"[{""name"": ""球L"", ""m"": 148.13292, ""q"": 0.3802, ""c"": 0.7697, ""capture"": 0.494, ""share"": 0.941, ""miss_deg"": 1.19, ""labels"": [320]}, {""name"": ""香蕉"", ""m"": 9.36583, ""q"": 0.024, ""c"": 1.0, ""capture"": 0.024, ""share"": 0.059, ""miss_deg"": 2.73, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,noocc_ng,105.38,108.98,3.6,1.487,球L,320,0.54,0.1487,0.197,0.645,0.852,0.725,object#316,389.6407,0,0,10,球L,1,2,"[{""name"": ""球L"", ""m"": 57.92662, ""q"": 0.1487, ""c"": 0.7541, ""capture"": 0.197, ""share"": 0.54, ""miss_deg"": 1.8, ""labels"": [320]}, {""name"": ""香蕉"", ""m"": 49.37742, ""q"": 0.1267, ""c"": 1.0, ""capture"": 0.127, ""share"": 0.46, ""miss_deg"": 2.03, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,noocc_ng,109.36,111.89,2.53,1.65,苹果,300,0.945,0.2345,0.334,0.042,0.058,0.752,object#10,389.6407,1,1,,,,2,"[{""name"": ""苹果"", ""m"": 91.35662, ""q"": 0.2345, ""c"": 0.7025, ""capture"": 0.334, ""share"": 0.945, ""miss_deg"": 1.48, ""labels"": [300]}, {""name"": ""香蕉"", ""m"": 5.29608, ""q"": 0.0136, ""c"": 1.0, ""capture"": 0.014, ""share"": 0.055, ""miss_deg"": 2.93, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,noocc_ng,112.0,112.83,0.83,1.654,苹果,300,0.994,0.2409,0.343,0.006,0.006,0.758,object#10,389.6407,1,1,11,苹果,1,2,"[{""name"": ""苹果"", ""m"": 93.86557, ""q"": 0.2409, ""c"": 0.7025, ""capture"": 0.343, ""share"": 0.994, ""miss_deg"": 1.46, ""labels"": [300]}, {""name"": ""香蕉"", ""m"": 0.60089, ""q"": 0.0015, ""c"": 1.0, ""capture"": 0.002, ""share"": 0.006, ""miss_deg"": 3.6, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,noocc_ng,113.15,114.45,1.3,1.663,苹果,300,1.0,0.1552,0.221,0.0,0.0,0.845,object#10,389.6407,1,1,11,苹果,1,1,"[{""name"": ""苹果"", ""m"": 60.46673, ""q"": 0.1552, ""c"": 0.7025, ""capture"": 0.221, ""share"": 1.0, ""miss_deg"": 1.74, ""labels"": [300]}]"
