rec,card,era,flags,cfg,k,target,size,theta_unit,tier,occl,walking,stress,window_src,reliable,lcs,has_window,win_start_rel,win_end_rel,n_finals,n_obj_finals,n_acc,n_acc_e2,outcome_first,first_obj,first_lat_end,first_lat_start,first_lat_stare,first_share,first_capture,first_A,first_p_none,first_dur,outcome_any,any_correct,any_wrong,flip_wrong_then_correct,flip_correct_then_wrong,wrong_objs,first_e2,ungated_first,ungated_majority,ungated_majority_obj,ungated_majority_dur,gated_majority,gated_majority_obj,gated_majority_dur,best_target_capture,best_wrong_capture,best_target_share,best_wrong_share,dist_m
2026_08_16/s2,s2,v7,,cluster010,4,球R,ball(3cm),2.55,≥2.5°,clear,0,0,schedule,1,hit,1,38.88,44.65,1,1,1,1,correct,球R,5.52,-0.93,3.05,0.959,0.992,0.031,0.72,6.45,correct_only,1,0,0,0,,correct,correct,correct,球R,6.45,correct,球R,6.45,0.992,,0.959,,2.49
2026_08_16/s2,s2,v7,,cluster010,5,球L,ball(3cm),2.85,≥2.5°,clear,0,0,schedule,1,hit,1,45.81,51.53,1,1,1,1,correct,球L,5.55,-1.0,3.13,0.67,0.625,0.181,0.64,6.55,correct_only,1,0,0,0,,correct,correct,correct,球L,6.55,correct,球L,6.55,0.625,,0.67,,2.44
2026_08_16/s2,s2,v7,,cluster010,6,球R,ball(3cm),2.55,≥2.5°,clear,0,0,schedule,1,hit,1,52.69,58.39,2,2,2,2,correct,球R,4.39,-0.87,1.99,0.953,0.963,0.035,0.727,5.25,correct_only,1,0,0,0,,correct,correct,correct,球R,6.07,correct,球R,6.07,0.963,,0.953,,2.46
2026_08_16/s2,s2,v7,,cluster010,7,球M,ball(3cm),4.47,≥2.5°,clear,0,0,schedule,1,hit,1,59.55,65.33,3,3,3,3,correct,球M,3.5,2.63,1.02,1.0,0.985,0.0,0.647,0.87,mixed,1,1,1,1,香蕉,correct,correct,correct,球M,2.17,correct,球M,2.17,0.985,0.387,1.0,0.839,2.45
2026_08_16/s2,s2,v7,,cluster010,8,球L,ball(3cm),2.85,≥2.5°,clear,0,0,schedule,1,hit,1,66.69,72.44,1,1,1,1,correct,球L,5.46,-1.47,3.01,0.808,0.784,0.069,0.639,6.93,correct_only,1,0,0,0,,correct,correct,correct,球L,6.93,correct,球L,6.93,0.784,,0.808,,2.46
2026_08_16/s2,s2,v7,,cluster010,9,球R,ball(3cm),2.55,≥2.5°,clear,0,0,schedule,1,hit,1,73.6,79.28,2,2,1,1,correct,球R,10.47,2.89,8.09,0.966,0.917,0.026,0.743,7.58,correct_only,1,0,0,0,,correct,wrong,correct,球R,7.58,correct,球R,7.58,0.917,0.049,0.966,1.0,2.48
2026_08_16/s2,s2,v7,,cluster010,10,球R,ball(3cm),2.55,≥2.5°,clear,0,0,schedule,1,hit,1,80.44,86.23,2,2,2,2,correct,球R,3.63,-3.95,1.14,0.966,0.917,0.026,0.743,7.58,correct_only,1,0,0,0,,correct,correct,correct,球R,8.94,correct,球R,8.94,1.113,,0.966,,2.52
2026_08_16/s2,s2,v7,,cluster010,11,球M,ball(3cm),4.47,≥2.5°,clear,0,0,schedule,1,hit,1,87.39,93.38,1,1,1,1,correct,球M,5.95,-0.87,3.26,1.0,1.384,0.0,0.485,6.82,correct_only,1,0,0,0,,correct,correct,correct,球M,6.82,correct,球M,6.82,1.384,,1.0,,2.42
2026_08_16/s2,s2,v7,,cluster010,12,球L,ball(3cm),2.85,≥2.5°,clear,0,0,schedule,1,hit,1,94.54,100.51,1,1,1,1,correct,球L,5.72,-0.84,3.05,0.773,0.641,0.117,0.692,6.56,correct_only,1,0,0,0,,correct,correct,correct,球L,6.56,correct,球L,6.56,0.641,,0.773,,2.47
2026_08_16/s2,s2,v7,,cluster010,13,球M,ball(3cm),4.47,≥2.5°,clear,0,0,schedule,1,hit,1,101.67,107.63,1,1,1,1,correct,球M,5.83,3.01,3.17,1.0,1.243,0.0,0.538,2.82,correct_only,1,0,0,0,,correct,correct,correct,球M,2.82,correct,球M,2.82,1.243,,1.0,,2.39
