rec,k,target,tier,occl,flags,theta_unit,dist_m,reliable,ours_first,ours_obj,ours_cap,ours_share,ours_A,ours_any,ours_lcs,noocc_ng_first,noocc_ng_obj,noocc_ng_cap,noocc_ng_share,noocc_ng_A,noocc_ng_any,noocc_ng_lcs,ours_best_target_cap,noocc_ng_best_target_cap,ours_best_wrong_cap,noocc_ng_best_wrong_cap
2026_08_16/s3,5,球R,1.0–2.5°,clear,,1.53,3.4,1,correct,球R,0.21,1.0,0.0,correct_only,hit,correct,球R,0.414,1.0,0.0,correct_only,hit,0.21,0.414,,
2026_08_16/s3,6,球R,1.0–2.5°,clear,,1.53,3.39,1,correct,球R,0.253,1.0,0.0,correct_only,hit,correct,球R,0.497,0.996,0.002,correct_only,hit,0.253,0.497,,
2026_08_16/s3,7,球L,1.0–2.5°,clear,,2.0,3.34,1,correct,球L,0.503,0.825,0.056,correct_only,hit,correct,球L,0.648,0.956,0.014,correct_only,hit,0.523,1.181,0.096,0.106
2026_08_16/s3,8,球L,1.0–2.5°,clear,,2.0,3.35,1,correct,球L,0.212,1.0,0.0,correct_only,hit,correct,球L,0.585,1.0,0.0,correct_only,hit,0.212,0.585,,
2026_08_16/s3,9,球M,≥2.5°,clear,,3.19,3.4,1,correct,球M,1.519,0.99,0.003,correct_only,hit,correct,球M,1.298,0.978,0.007,correct_only,hit,1.519,1.375,,
2026_08_16/s3,10,球R,1.0–2.5°,clear,,1.53,3.4,1,wrong,球M,0.247,1.0,0.0,mixed,hit,wrong,球M,0.256,1.0,0.0,mixed,hit,0.741,1.138,0.247,0.418
2026_08_16/s3,11,球L,1.0–2.5°,clear,,2.0,3.35,1,correct,球L,0.39,0.809,0.074,correct_only,hit,correct,球L,0.986,0.91,0.027,correct_only,hit,0.39,0.986,,
2026_08_16/s3,12,球M,≥2.5°,clear,,3.19,4.0,1,correct,球M,1.031,1.0,0.0,correct_only,hit,correct,球M,0.761,1.0,0.0,correct_only,hit,1.031,0.761,,
2026_08_16/s3,13,球R,1.0–2.5°,clear,,1.53,3.38,1,none,,,,,none,hit,correct,球R,0.299,1.0,0.0,correct_only,hit,0.135,0.299,,
2026_08_16/s3,14,球M,≥2.5°,clear,,3.19,3.39,1,correct,球M,0.306,1.0,0.0,correct_only,hit,correct,球M,0.266,1.0,0.0,mixed,hit,1.321,1.225,0.162,0.5
2026_08_16/s3,15,球R,1.0–2.5°,clear,,1.53,3.38,1,correct,球R,0.517,0.938,0.048,correct_only,hit,correct,球R,0.86,0.931,0.055,correct_only,hit,0.517,0.86,,
2026_08_16/s4,1,球L,1.0–2.5°,clear,,1.67,3.81,1,none,,,,,none,hit,none,,,,,none,hit,0.071,0.083,,
2026_08_16/s4,2,球L,1.0–2.5°,clear,,1.67,3.8,1,none,,,,,none,hit,none,,,,,none,hit,0.062,0.077,,
2026_08_16/s4,3,球M,≥2.5°,clear,,2.82,3.8,1,wrong,球L,0.611,0.929,0.026,mixed,miss,wrong,球L,0.805,0.882,0.042,mixed,miss,0.413,0.556,0.611,0.805
2026_08_16/s4,4,球R,1.0–2.5°,clear,,1.28,3.95,1,none,,,,,none,hit,none,,,,,none,hit,0.015,0.047,0.008,0.018
2026_08_16/s4,5,球R,1.0–2.5°,clear,,1.28,3.87,1,none,,,,,none,hit,none,,,,,none,hit,0.002,0.022,,
2026_08_16/s4,6,球M,≥2.5°,clear,,2.82,3.87,1,wrong,球R,0.303,0.985,0.017,mixed,hit,wrong,球R,0.465,0.91,0.108,mixed,hit,0.435,0.596,0.303,0.465
2026_08_16/s4,7,球M,≥2.5°,clear,,2.82,3.9,1,correct,球M,0.651,0.99,0.003,correct_only,hit,correct,球M,0.894,0.987,0.004,correct_only,hit,0.755,1.001,,
2026_08_16/s4,8,球L,1.0–2.5°,clear,,1.67,3.79,1,wrong,球M,0.854,1.0,0.0,mixed,hit,wrong,球M,1.066,1.0,0.0,mixed,hit,0.832,1.069,0.854,1.066
2026_08_16/s4,9,球R,1.0–2.5°,clear,,1.28,3.79,1,wrong,球L,0.23,1.0,0.0,mixed,hit,wrong,球L,0.337,0.933,0.024,mixed,hit,0.389,0.586,0.23,0.337
2026_08_16/s4,10,球M,≥2.5°,clear,,2.82,3.8,1,wrong,球R,0.613,0.939,0.064,wrong_only,miss,wrong,球R,0.9,0.886,0.129,wrong_only,miss,,,0.613,0.9
2026_08_16/s4,11,球R,1.0–2.5°,clear,,1.28,3.8,1,wrong,球M,0.642,0.744,0.104,wrong_only,hit,wrong,球M,0.813,0.739,0.111,mixed,hit,0.168,0.298,0.642,0.813
2026_08_16/s4,12,球R,1.0–2.5°,clear,,1.28,3.91,1,correct,球R,0.202,1.0,0.0,correct_only,hit,correct,球R,0.311,0.998,0.0,correct_only,hit,0.202,0.311,,
2026_08_16/s4,13,球M,≥2.5°,clear,,2.82,3.81,1,correct,球M,0.841,1.0,0.0,correct_only,hit,correct,球M,1.031,1.0,0.0,correct_only,hit,0.841,1.031,,
2026_08_16/s4,14,球L,1.0–2.5°,clear,,1.67,3.77,1,correct,球L,0.545,0.936,0.026,correct_only,hit,correct,球L,0.723,0.893,0.043,correct_only,hit,0.545,0.723,,
2026_08_16/s4,15,球L,1.0–2.5°,clear,,1.67,3.77,1,correct,球L,0.312,0.829,0.071,correct_only,hit,correct,球L,0.442,0.757,0.111,correct_only,hit,0.633,0.836,,
2026_08_16/s6,1,球L,<1.0°,clear,,0.56,4.43,1,correct,球L,0.294,0.992,0.003,correct_only,hit,correct,球L,0.388,0.855,0.046,correct_only,hit,0.69,0.823,,
2026_08_16/s6,2,球M,1.0–2.5°,clear,,1.79,4.53,1,correct,球M,0.407,0.999,0.002,correct_only,hit,correct,球M,0.524,0.979,0.021,correct_only,hit,0.407,0.524,,0.106
2026_08_16/s6,3,球R,1.0–2.5°,clear,,1.85,4.56,1,none,,,,,none,hit,none,,,,,none,hit,0.062,0.188,,
2026_08_16/s6,4,球R,1.0–2.5°,clear,,1.85,4.54,1,correct,球R,0.277,1.0,0.0,correct_only,hit,correct,球R,0.566,0.999,0.002,correct_only,hit,0.277,0.566,,
2026_08_16/s6,5,球M,1.0–2.5°,clear,,1.79,4.46,1,correct,球M,0.728,0.986,0.019,correct_only,hit,correct,球M,0.952,0.972,0.038,correct_only,hit,0.74,0.952,,
2026_08_16/s6,6,球R,1.0–2.5°,clear,,1.85,4.54,1,wrong,球M,0.685,0.891,0.105,wrong_only,hit,correct,球R,0.297,0.984,0.01,mixed,hit,0.095,0.297,0.685,0.821
2026_08_16/s6,7,球R,1.0–2.5°,clear,,1.85,4.6,1,correct,球R,0.293,0.962,0.044,correct_only,hit,correct,球R,0.599,0.959,0.04,correct_only,hit,0.293,0.599,,
2026_08_16/s6,8,球M,1.0–2.5°,clear,,1.79,4.55,1,correct,球M,0.358,1.0,0.0,correct_only,hit,correct,球M,0.421,0.974,0.029,correct_only,hit,0.358,0.421,,
2026_08_16/s6,9,球L,<1.0°,clear,,0.56,4.45,1,correct,球L,0.707,0.872,0.044,correct_only,hit,correct,球L,0.877,0.725,0.116,correct_only,hit,0.707,0.877,,
2026_08_16/s6,10,球M,1.0–2.5°,clear,,1.79,4.51,1,correct,球M,0.791,0.886,0.109,correct_only,hit,correct,球M,0.915,0.832,0.16,correct_only,hit,0.833,0.954,,
