rec,card,era,flags,cfg,k,target,size,theta_unit,tier,occl,walking,stress,window_src,reliable,lcs,has_window,win_start_rel,win_end_rel,n_finals,n_obj_finals,n_acc,n_acc_e2,outcome_first,first_obj,first_lat_end,first_lat_start,first_lat_stare,first_share,first_capture,first_A,first_p_none,first_dur,outcome_any,any_correct,any_wrong,flip_wrong_then_correct,flip_correct_then_wrong,wrong_objs,first_e2,ungated_first,ungated_majority,ungated_majority_obj,ungated_majority_dur,gated_majority,gated_majority_obj,gated_majority_dur,best_target_capture,best_wrong_capture,best_target_share,best_wrong_share,dist_m
2026_08_16/s2,s2,v7,,v1_cluster0,3,球M,ball(3cm),4.47,≥2.5°,clear,0,0,schedule,1,hit,1,31.92,37.72,1,1,1,1,correct,球M,5.73,-1.09,3.23,0.985,,,0.571,6.82,correct_only,1,0,0,0,,correct,correct,correct,球M,6.82,correct,球M,6.82,0.0,,0.985,,2.4
2026_08_16/s2,s2,v7,,v1_cluster0,4,球R,ball(3cm),2.55,≥2.5°,clear,0,0,schedule,1,hit,1,38.88,44.65,1,1,1,1,correct,球R,5.52,-0.93,3.05,0.833,,,0.565,6.45,correct_only,1,0,0,0,,correct,correct,correct,球R,6.45,correct,球R,6.45,0.0,,0.833,,2.49
2026_08_16/s2,s2,v7,,v1_cluster0,5,球L,ball(3cm),2.85,≥2.5°,clear,0,0,schedule,1,hit,1,45.81,51.53,1,1,1,1,correct,球L,5.55,-1.0,3.13,0.512,,,0.369,6.55,correct_only,1,0,0,0,,correct,correct,correct,球L,6.55,correct,球L,6.55,0.0,,0.512,,2.44
2026_08_16/s2,s2,v7,,v1_cluster0,6,球R,ball(3cm),2.55,≥2.5°,clear,0,0,schedule,1,hit,1,52.69,58.39,2,2,2,2,correct,球R,4.39,-0.87,1.99,0.812,,,0.58,5.25,correct_only,1,0,0,0,,correct,correct,correct,球R,6.07,correct,球R,6.07,0.0,,0.812,,2.46
2026_08_16/s2,s2,v7,,v1_cluster0,7,球M,ball(3cm),4.47,≥2.5°,clear,0,0,schedule,1,hit,1,59.55,65.33,3,3,3,3,correct,球M,3.5,2.63,1.02,0.929,,,0.619,0.87,mixed,1,1,1,1,香蕉,correct,correct,correct,球M,2.17,correct,球M,2.17,0.0,0.0,0.955,0.628,2.45
2026_08_16/s2,s2,v7,,v1_cluster0,8,球L,ball(3cm),2.85,≥2.5°,clear,0,0,schedule,1,hit,1,66.69,72.44,1,1,1,1,correct,球L,5.46,-1.47,3.01,0.569,,,0.422,6.93,correct_only,1,0,0,0,,correct,correct,correct,球L,6.93,correct,球L,6.93,0.0,,0.569,,2.46
2026_08_16/s2,s2,v7,,v1_cluster0,9,球R,ball(3cm),2.55,≥2.5°,clear,0,0,schedule,1,hit,1,73.6,79.28,2,2,2,2,wrong,球M,2.84,2.57,0.46,0.797,,,0.8,0.27,mixed,1,1,1,0,球M,wrong,wrong,correct,球R,7.58,correct,球R,7.58,0.0,0.0,0.848,0.797,2.48
2026_08_16/s2,s2,v7,,v1_cluster0,10,球R,ball(3cm),2.55,≥2.5°,clear,0,0,schedule,1,hit,1,80.44,86.23,2,2,2,2,correct,球R,3.63,-3.95,1.14,0.848,,,0.562,7.58,correct_only,1,0,0,0,,correct,correct,correct,球R,8.94,correct,球R,8.94,0.0,,0.848,,2.52
2026_08_16/s2,s2,v7,,v1_cluster0,11,球M,ball(3cm),4.47,≥2.5°,clear,0,0,schedule,1,hit,1,87.39,93.38,1,1,1,1,correct,球M,5.95,-0.87,3.26,0.974,,,0.543,6.82,correct_only,1,0,0,0,,correct,correct,correct,球M,6.82,correct,球M,6.82,0.0,,0.974,,2.42
2026_08_16/s2,s2,v7,,v1_cluster0,12,球L,ball(3cm),2.85,≥2.5°,clear,0,0,schedule,1,hit,1,94.54,100.51,1,1,1,1,correct,球L,5.72,-0.84,3.05,0.598,,,0.406,6.56,correct_only,1,0,0,0,,correct,correct,correct,球L,6.56,correct,球L,6.56,0.0,,0.598,,2.47
