rec,card,era,flags,cfg,t_start_rel,t_end_rel,dur_s,dist_m,object,object_label,share,q,capture,A_cap,A_share,p_none,surface,W,acc_live,acc_e2,window_k,target,correct,n_cands,candidates
2026_08_20/000,c1,v9,,selfcal2,82.76,83.13,0.38,2.265,球M,261,0.329,0.163,1.115,0.299,0.334,0.506,物品台,,0,0,9,球M,1,3,"[{""name"": ""球M"", ""share"": 0.329, ""q"": 0.163, ""capture"": 1.115, ""miss_deg"": 0.0, ""labels"": [261]}, {""name"": ""球L"", ""share"": 0.11, ""q"": 0.054, ""capture"": 0.333, ""miss_deg"": 2.23, ""labels"": [259]}, {""name"": ""水瓶"", ""share"": 0.355, ""q"": 0.175, ""capture"": 0.249, ""miss_deg"": 2.5, ""labels"": [30]}]"
2026_08_20/000,c1,v9,,selfcal2,83.41,84.07,0.66,2.323,球M,261,0.423,0.195,1.424,0.162,0.809,0.539,物品台,,0,0,9,球M,1,3,"[{""name"": ""球M"", ""share"": 0.423, ""q"": 0.195, ""capture"": 1.424, ""miss_deg"": 0.0, ""labels"": [261]}, {""name"": ""水瓶"", ""share"": 0.342, ""q"": 0.158, ""capture"": 0.23, ""miss_deg"": 2.57, ""labels"": [30]}, {""name"": ""白杯1"", ""share"": 0.082, ""q"": 0.038, ""capture"": 0.126, ""miss_deg"": 3.05, ""labels"": [266]}]"
2026_08_20/000,c1,v9,,selfcal2,84.13,84.4,0.27,2.292,球L,259,0.264,0.14,0.958,0.624,0.883,0.471,物品台,,0,0,9,球M,0,3,"[{""name"": ""球L"", ""share"": 0.264, ""q"": 0.14, ""capture"": 0.958, ""miss_deg"": 0.44, ""labels"": [259]}, {""name"": ""苹果红"", ""share"": 0.233, ""q"": 0.123, ""capture"": 0.598, ""miss_deg"": 1.52, ""labels"": [260]}, {""name"": ""球M"", ""share"": 0.136, ""q"": 0.072, ""capture"": 0.493, ""miss_deg"": 1.78, ""labels"": [261]}]"
2026_08_20/000,c1,v9,,selfcal2,84.45,84.83,0.38,2.316,球M,261,0.396,0.199,1.454,0.184,0.927,0.498,物品台,,0,0,9,球M,1,3,"[{""name"": ""球M"", ""share"": 0.396, ""q"": 0.199, ""capture"": 1.454, ""miss_deg"": 0.0, ""labels"": [261]}, {""name"": ""水瓶"", ""share"": 0.367, ""q"": 0.185, ""capture"": 0.268, ""miss_deg"": 2.43, ""labels"": [30]}, {""name"": ""白杯1"", ""share"": 0.087, ""q"": 0.044, ""capture"": 0.145, ""miss_deg"": 2.95, ""labels"": [266]}]"
2026_08_20/000,c1,v9,,selfcal2,85.32,86.13,0.81,2.291,球M,261,0.435,0.184,1.258,0.14,0.66,0.578,物品台,,1,0,9,球M,1,3,"[{""name"": ""球M"", ""share"": 0.435, ""q"": 0.184, ""capture"": 1.258, ""miss_deg"": 0.0, ""labels"": [261]}, {""name"": ""水瓶"", ""share"": 0.287, ""q"": 0.121, ""capture"": 0.176, ""miss_deg"": 2.79, ""labels"": [30]}, {""name"": ""白杯1"", ""share"": 0.121, ""q"": 0.051, ""capture"": 0.17, ""miss_deg"": 2.82, ""labels"": [266]}]"
2026_08_20/000,c1,v9,,selfcal2,86.67,87.27,0.6,2.347,苹果红,260,0.386,0.174,0.918,0.496,0.381,0.55,物品台,,1,0,,,,3,"[{""name"": ""苹果红"", ""share"": 0.386, ""q"": 0.174, ""capture"": 0.918, ""miss_deg"": 0.62, ""labels"": [260]}, {""name"": ""球L"", ""share"": 0.147, ""q"": 0.066, ""capture"": 0.455, ""miss_deg"": 1.88, ""labels"": [259]}, {""name"": ""苹果粉"", ""share"": 0.174, ""q"": 0.078, ""capture"": 0.289, ""miss_deg"": 2.36, ""labels"": [64]}]"
2026_08_20/000,c1,v9,,selfcal2,87.75,90.19,2.44,2.365,苹果红,260,0.385,0.089,0.469,0.326,0.283,0.769,物品台,,1,0,10,橘子,0,3,"[{""name"": ""苹果红"", ""share"": 0.385, ""q"": 0.089, ""capture"": 0.469, ""miss_deg"": 1.84, ""labels"": [260]}, {""name"": ""橘子"", ""share"": 0.109, ""q"": 0.025, ""capture"": 0.153, ""miss_deg"": 2.91, ""labels"": [262]}, {""name"": ""苹果粉"", ""share"": 0.148, ""q"": 0.034, ""capture"": 0.134, ""miss_deg"": 3.01, ""labels"": [64, 250]}]"
2026_08_20/000,c1,v9,,selfcal2,90.35,92.36,2.0,2.378,苹果红,260,0.367,0.09,0.477,0.306,0.264,0.754,物品台,,1,0,10,橘子,0,3,"[{""name"": ""苹果红"", ""share"": 0.367, ""q"": 0.09, ""capture"": 0.477, ""miss_deg"": 1.83, ""labels"": [260]}, {""name"": ""橘子"", ""share"": 0.097, ""q"": 0.024, ""capture"": 0.146, ""miss_deg"": 2.94, ""labels"": [262]}, {""name"": ""苹果粉"", ""share"": 0.109, ""q"": 0.027, ""capture"": 0.105, ""miss_deg"": 3.18, ""labels"": [64, 250]}]"
2026_08_20/000,c1,v9,,selfcal2,92.6,93.35,0.76,2.349,苹果红,260,0.28,0.149,0.788,0.406,1.439,0.467,object#12,,0,0,,,,3,"[{""name"": ""苹果红"", ""share"": 0.28, ""q"": 0.149, ""capture"": 0.788, ""miss_deg"": 1.04, ""labels"": [260]}, {""name"": ""水瓶"", ""share"": 0.403, ""q"": 0.215, ""capture"": 0.32, ""miss_deg"": 2.26, ""labels"": [30]}, {""name"": ""球L"", ""share"": 0.072, ""q"": 0.038, ""capture"": 0.263, ""miss_deg"": 2.45, ""labels"": [259]}]"
2026_08_20/000,c1,v9,,selfcal2,93.73,95.95,2.22,2.301,球L,259,0.312,0.173,1.183,0.704,0.994,0.446,物品台,,0,0,,,,3,"[{""name"": ""球L"", ""share"": 0.312, ""q"": 0.173, ""capture"": 1.183, ""miss_deg"": 0.0, ""labels"": [259]}, {""name"": ""苹果红"", ""share"": 0.31, ""q"": 0.172, ""capture"": 0.833, ""miss_deg"": 0.91, ""labels"": [260]}, {""name"": ""苹果粉"", ""share"": 0.227, ""q"": 0.126, ""capture"": 0.464, ""miss_deg"": 1.86, ""labels"": [64, 250]}]"
2026_08_20/000,c1,v9,,selfcal2,96.17,96.55,0.38,2.308,球L,259,0.28,0.157,1.079,0.764,1.082,0.439,物品台,,0,0,11,球L,1,3,"[{""name"": ""球L"", ""share"": 0.28, ""q"": 0.157, ""capture"": 1.079, ""miss_deg"": 0.0, ""labels"": [259]}, {""name"": ""苹果红"", ""share"": 0.303, ""q"": 0.17, ""capture"": 0.824, ""miss_deg"": 0.93, ""labels"": [260]}, {""name"": ""苹果粉"", ""share"": 0.257, ""q"": 0.144, ""capture"": 0.533, ""miss_deg"": 1.68, ""labels"": [64, 250]}]"
2026_08_20/000,c1,v9,,selfcal2,96.79,97.33,0.54,2.316,球L,259,0.315,0.179,1.225,0.69,0.975,0.433,物品台,,0,0,11,球L,1,3,"[{""name"": ""球L"", ""share"": 0.315, ""q"": 0.179, ""capture"": 1.225, ""miss_deg"": 0.0, ""labels"": [259]}, {""name"": ""苹果红"", ""share"": 0.307, ""q"": 0.174, ""capture"": 0.845, ""miss_deg"": 0.87, ""labels"": [260]}, {""name"": ""苹果粉"", ""share"": 0.205, ""q"": 0.116, ""capture"": 0.43, ""miss_deg"": 1.95, ""labels"": [64, 250]}]"
2026_08_20/000,c1,v9,,selfcal2,98.2,98.47,0.27,2.297,球L,259,0.373,0.191,1.308,0.468,0.66,0.488,物品台,,1,0,11,球L,1,3,"[{""name"": ""球L"", ""share"": 0.373, ""q"": 0.191, ""capture"": 1.308, ""miss_deg"": 0.0, ""labels"": [259]}, {""name"": ""苹果红"", ""share"": 0.246, ""q"": 0.126, ""capture"": 0.612, ""miss_deg"": 1.49, ""labels"": [260]}, {""name"": ""苹果粉"", ""share"": 0.274, ""q"": 0.14, ""capture"": 0.519, ""miss_deg"": 1.72, ""labels"": [64, 250]}]"
2026_08_20/000,c1,v9,,selfcal2,98.8,99.34,0.53,2.312,球M,261,0.236,0.153,1.046,0.432,2.034,0.353,物品台,,0,0,11,球L,0,3,"[{""name"": ""球M"", ""share"": 0.236, ""q"": 0.153, ""capture"": 1.046, ""miss_deg"": 0.0, ""labels"": [261]}, {""name"": ""水瓶"", ""share"": 0.48, ""q"": 0.311, ""capture"": 0.452, ""miss_deg"": 1.89, ""labels"": [30]}, {""name"": ""苹果红"", ""share"": 0.095, ""q"": 0.062, ""capture"": 0.299, ""miss_deg"": 2.33, ""labels"": [260]}]"
2026_08_20/000,c1,v9,,selfcal2,99.83,100.1,0.27,2.299,球M,261,0.289,0.181,1.243,0.352,1.661,0.373,物品台,,0,0,,,,3,"[{""name"": ""球M"", ""share"": 0.289, ""q"": 0.181, ""capture"": 1.243, ""miss_deg"": 0.0, ""labels"": [261]}, {""name"": ""水瓶"", ""share"": 0.48, ""q"": 0.301, ""capture"": 0.438, ""miss_deg"": 1.93, ""labels"": [30]}, {""name"": ""苹果红"", ""share"": 0.051, ""q"": 0.032, ""capture"": 0.156, ""miss_deg"": 2.89, ""labels"": [260]}]"
