rec,card,era,flags,cfg,k,target,size,theta_unit,tier,occl,walking,stress,window_src,reliable,lcs,has_window,win_start_rel,win_end_rel,n_finals,n_obj_finals,n_acc,n_acc_e2,outcome_first,first_obj,first_lat_end,first_lat_start,first_lat_stare,first_share,first_capture,first_A,first_p_none,first_dur,outcome_any,any_correct,any_wrong,flip_wrong_then_correct,flip_correct_then_wrong,wrong_objs,first_e2,ungated_first,ungated_majority,ungated_majority_obj,ungated_majority_dur,gated_majority,gated_majority_obj,gated_majority_dur,best_target_capture,best_wrong_capture,best_target_share,best_wrong_share,dist_m
2026_08_16/s3,s3,v7,,selfcal3,8,球L,ball(3cm),2.0,1.0–2.5°,clear,0,0,schedule,1,miss,1,66.69,72.43,2,2,1,0,correct,球L,5.56,3.24,3.12,0.451,0.813,0.697,0.802,2.33,correct_only,1,0,0,0,,none,correct,correct,球L,5.2,correct,球L,2.33,0.813,,0.451,,3.3
2026_08_16/s3,s3,v7,,selfcal3,9,球M,ball(3cm),3.19,≥2.5°,clear,0,0,schedule,1,hit,1,73.59,79.32,3,3,3,3,correct,球M,2.63,-0.61,0.2,0.825,1.271,0.046,0.86,3.25,correct_only,1,0,0,0,,correct,correct,correct,球M,6.17,correct,球M,6.17,1.574,,0.959,,3.32
2026_08_16/s3,s3,v7,,selfcal3,10,球R,ball(3cm),1.53,1.0–2.5°,clear,0,0,schedule,1,hit,1,80.48,86.27,4,4,4,2,wrong,石榴,3.08,2.49,0.59,0.461,0.507,0.915,0.879,0.6,wrong_only,0,1,0,0,球M|石榴|苹果,wrong,wrong,wrong,石榴,1.52,wrong,石榴,1.52,,1.256,,0.927,3.35
2026_08_16/s3,s3,v7,,selfcal3,11,球L,ball(3cm),2.0,1.0–2.5°,clear,0,0,schedule,1,hit,1,87.43,93.42,2,2,0,0,none,,,,,,,,,,none,0,0,0,0,,none,wrong,wrong,苹果,5.15,none,,,0.788,0.864,0.336,0.372,3.29
2026_08_16/s3,s3,v7,,selfcal3,12,球M,ball(3cm),3.19,≥2.5°,clear,0,0,schedule,1,hit,1,94.58,100.52,1,1,1,1,correct,球M,6.02,-0.04,3.38,0.974,1.938,0.006,0.819,6.06,correct_only,1,0,0,0,,correct,correct,correct,球M,6.06,correct,球M,6.06,1.938,,0.974,,3.38
2026_08_16/s3,s3,v7,,selfcal3,13,球R,ball(3cm),1.53,1.0–2.5°,clear,0,0,schedule,1,hit,1,101.68,107.62,2,2,2,2,correct,球R,5.18,-0.13,2.54,0.521,1.173,0.604,0.838,5.31,correct_only,1,0,0,0,,correct,correct,correct,球R,5.63,correct,球R,5.63,1.173,,0.678,,3.38
2026_08_16/s3,s3,v7,,selfcal3,14,球M,ball(3cm),3.19,≥2.5°,clear,0,0,schedule,1,hit,1,108.78,114.79,4,4,3,3,correct,球M,3.04,1.15,0.33,0.971,1.596,0.021,0.85,1.9,correct_only,1,0,0,0,,correct,correct,correct,球M,4.12,correct,球M,4.12,1.844,0.753,0.984,0.308,3.37
2026_08_16/s3,s3,v7,,selfcal3,15,球R,ball(3cm),1.53,1.0–2.5°,clear,0,0,schedule,1,hit,1,115.95,121.92,1,1,1,0,correct,球R,6.47,0.13,3.8,0.458,1.161,0.777,0.818,6.34,correct_only,1,0,0,0,,none,correct,correct,球R,6.34,correct,球R,6.34,1.161,,0.458,,3.36
2026_08_16/s4,s4,v8,,selfcal3,1,球L,ball(3cm),1.67,1.0–2.5°,clear,0,0,schedule,1,hit,1,15.68,21.4,2,2,2,2,correct,球L,3.95,2.44,1.53,0.929,0.341,0.023,0.967,1.52,correct_only,1,0,0,0,,correct,correct,correct,球L,4.17,correct,球L,4.17,0.378,,0.929,,3.81
2026_08_16/s4,s4,v8,,selfcal3,2,球L,ball(3cm),1.67,1.0–2.5°,clear,0,0,schedule,1,hit,1,22.56,28.34,2,2,1,1,correct,球L,6.35,2.28,3.87,0.927,0.359,0.022,0.965,4.06,correct_only,1,0,0,0,,correct,correct,correct,球L,6.12,correct,球L,4.06,0.359,,1.0,,3.83
