rec,card,era,flags,cfg,k,target,size,theta_unit,tier,occl,walking,stress,window_src,reliable,lcs,has_window,win_start_rel,win_end_rel,n_finals,n_obj_finals,n_acc,n_acc_e2,outcome_first,first_obj,first_lat_end,first_lat_start,first_lat_stare,first_share,first_capture,first_A,first_p_none,first_dur,outcome_any,any_correct,any_wrong,flip_wrong_then_correct,flip_correct_then_wrong,wrong_objs,first_e2,ungated_first,ungated_majority,best_target_capture,best_wrong_capture,best_target_share,best_wrong_share,dist_m
2026_08_16/s3,s3,v7,,mass15,10,球R,ball(3cm),1.53,1.0–2.5°,clear,0,0,schedule,1,hit,1,80.48,86.27,3,3,3,2,wrong,球M,3.46,2.49,0.97,0.833,0.843,0.114,0.908,0.97,mixed,1,1,1,1,球M|香蕉,wrong,wrong,wrong,1.019,0.843,0.575,0.833,3.4
2026_08_16/s3,s3,v7,,mass15,11,球L,ball(3cm),2.0,1.0–2.5°,clear,0,0,schedule,1,hit,1,87.43,93.42,2,2,2,2,correct,球L,4.43,0.69,1.74,0.509,0.537,0.168,0.884,3.74,correct_only,1,0,0,0,,correct,correct,correct,0.537,,0.529,,3.35
2026_08_16/s3,s3,v7,,mass15,12,球M,ball(3cm),3.19,≥2.5°,clear,0,0,schedule,1,hit,1,94.58,100.52,2,2,2,2,correct,球M,2.66,1.79,0.02,0.98,1.956,0.005,0.895,0.87,correct_only,1,0,0,0,,correct,correct,correct,1.956,,1.0,,4.0
2026_08_16/s3,s3,v7,,mass15,13,球R,ball(3cm),1.53,1.0–2.5°,clear,0,0,schedule,1,hit,1,101.68,107.62,2,2,2,2,correct,球R,5.02,-0.78,2.38,0.822,0.586,0.171,0.949,5.8,correct_only,1,0,0,0,,correct,correct,correct,0.586,,0.926,,3.38
2026_08_16/s3,s3,v7,,mass15,14,球M,ball(3cm),3.19,≥2.5°,clear,0,0,schedule,1,hit,1,108.78,114.79,3,3,2,2,correct,球M,1.85,1.15,-0.86,0.998,0.857,0.001,0.922,0.7,correct_only,1,0,0,0,,correct,correct,correct,1.773,0.114,0.998,0.451,3.39
2026_08_16/s3,s3,v7,,mass15,15,球R,ball(3cm),1.53,1.0–2.5°,clear,0,0,schedule,1,hit,1,115.95,121.92,1,1,1,1,correct,球R,6.47,-0.63,3.8,0.633,0.825,0.381,0.906,7.1,correct_only,1,0,0,0,,correct,correct,correct,0.825,,0.633,,3.38
2026_08_16/s4,s4,v8,,mass15,1,球L,ball(3cm),1.67,1.0–2.5°,clear,0,0,schedule,1,hit,1,15.68,21.4,2,2,2,2,correct,球L,3.95,2.44,1.53,0.929,0.341,0.023,0.967,1.52,correct_only,1,0,0,0,,correct,correct,correct,0.378,,0.929,,3.81
2026_08_16/s4,s4,v8,,mass15,2,球L,ball(3cm),1.67,1.0–2.5°,clear,0,0,schedule,1,hit,1,22.56,28.34,2,2,1,1,correct,球L,6.35,2.28,3.87,0.927,0.359,0.022,0.965,4.06,correct_only,1,0,0,0,,correct,correct,correct,0.359,,1.0,,3.83
2026_08_16/s4,s4,v8,,mass15,3,球M,ball(3cm),2.82,≥2.5°,clear,0,0,schedule,1,hit,1,29.5,35.29,6,6,5,5,wrong,球L,0.85,0.25,-1.64,0.671,0.895,0.079,0.878,0.6,mixed,1,1,1,0,球L,wrong,wrong,wrong,0.849,0.895,0.89,0.9,3.81
2026_08_16/s4,s4,v8,,mass15,4,球R,ball(3cm),1.28,1.0–2.5°,clear,0,0,schedule,1,hit,1,36.45,42.22,5,5,2,2,wrong,球M,1.24,0.54,-1.23,0.911,0.239,0.096,0.976,0.7,mixed,1,1,1,0,球M,wrong,wrong,correct,0.25,0.239,1.0,0.988,3.89
