rec,card,era,flags,cfg,k,target,size,theta_unit,tier,occl,walking,stress,window_src,reliable,lcs,has_window,win_start_rel,win_end_rel,n_finals,n_obj_finals,n_acc,n_acc_e2,outcome_first,first_obj,first_lat_end,first_lat_start,first_lat_stare,first_share,first_capture,first_A,first_p_none,first_dur,outcome_any,any_correct,any_wrong,flip_wrong_then_correct,flip_correct_then_wrong,wrong_objs,first_e2,ungated_first,ungated_majority,ungated_majority_obj,ungated_majority_dur,gated_majority,gated_majority_obj,gated_majority_dur,best_target_capture,best_wrong_capture,best_target_share,best_wrong_share,dist_m
2026_08_16/s2,s2,v7,,s40,14,球L,ball(3cm),2.85,≥2.5°,clear,0,0,schedule,1,hit,1,108.79,114.8,3,3,0,0,none,,,,,,,,,,none,0,0,0,0,,none,wrong,wrong,苹果,3.68,none,,,0.832,1.554,0.25,0.343,2.47
2026_08_16/s2,s2,v7,,s40,15,球L,ball(3cm),2.85,≥2.5°,clear,0,0,schedule,1,miss,1,115.96,121.97,3,3,1,0,wrong,球M,4.92,4.43,2.21,0.392,1.474,0.368,0.894,0.49,wrong_only,0,1,0,0,球M,none,wrong,correct,球L,1.3,wrong,球M,0.49,0.844,1.474,0.248,0.392,2.46
2026_08_16/s3,s3,v7,,s40,1,球M,ball(3cm),3.19,≥2.5°,clear,0,0,schedule,1,hit,1,18.24,23.94,4,4,4,0,correct,球M,2.43,1.83,0.03,0.436,1.75,0.265,0.948,0.6,correct_only,1,0,0,0,,none,correct,correct,球M,2.55,correct,球M,2.55,1.838,,0.436,,3.45
2026_08_16/s3,s3,v7,,s40,2,球L,ball(3cm),2.0,1.0–2.5°,clear,0,0,schedule,1,miss,1,25.1,30.88,2,2,0,0,none,,,,,,,,,,none,0,0,0,0,,none,wrong,wrong,球M,5.69,none,,,,1.051,,0.268,3.35
2026_08_16/s3,s3,v7,,s40,3,球L,ball(3cm),2.0,1.0–2.5°,clear,0,0,schedule,1,miss,1,32.04,37.86,2,2,0,0,none,,,,,,,,,,none,0,0,0,0,,none,wrong,wrong,苹果,4.01,none,,,,0.918,,0.272,3.35
2026_08_16/s3,s3,v7,,s40,4,球M,ball(3cm),3.19,≥2.5°,clear,0,0,schedule,1,hit,1,39.02,44.84,4,4,4,0,correct,球M,1.62,1.3,-0.9,0.372,2.114,0.342,0.926,0.32,correct_only,1,0,0,0,,none,correct,correct,球M,2.17,correct,球M,2.17,3.484,,0.399,,3.91
2026_08_16/s3,s3,v7,,s40,5,球R,ball(3cm),1.53,1.0–2.5°,clear,0,0,schedule,1,hit,1,46.0,51.67,1,1,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,球R,6.34,none,,,1.175,,0.274,,3.4
2026_08_16/s3,s3,v7,,s40,6,球R,ball(3cm),1.53,1.0–2.5°,clear,0,0,schedule,1,hit,1,52.83,58.53,1,1,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,球R,6.45,none,,,1.123,,0.263,,3.39
2026_08_16/s3,s3,v7,,s40,7,球L,ball(3cm),2.0,1.0–2.5°,clear,0,0,schedule,1,miss,1,59.69,65.49,4,4,0,0,none,,,,,,,,,,none,0,0,0,0,,none,wrong,wrong,球M,2.22,none,,,,1.852,,0.318,3.34
2026_08_16/s3,s3,v7,,s40,8,球L,ball(3cm),2.0,1.0–2.5°,clear,0,0,schedule,1,miss,1,66.69,72.43,1,1,0,0,none,,,,,,,,,,none,0,0,0,0,,none,wrong,wrong,苹果,5.96,none,,,,0.821,,0.265,3.35
2026_08_16/s3,s3,v7,,s40,9,球M,ball(3cm),3.19,≥2.5°,clear,0,0,schedule,1,hit,1,73.59,79.32,3,3,3,0,correct,球M,2.63,-0.99,0.2,0.362,2.094,0.339,0.925,3.63,correct_only,1,0,0,0,,none,correct,correct,球M,6.39,correct,球M,6.39,2.186,,0.388,,3.4
2026_08_16/s3,s3,v7,,s40,10,球R,ball(3cm),1.53,1.0–2.5°,clear,0,0,schedule,1,hit,1,80.48,86.27,3,3,1,0,wrong,球M,3.46,2.49,0.97,0.38,1.899,0.567,0.935,0.97,wrong_only,0,1,0,0,球M,none,wrong,wrong,球M,1.46,wrong,球M,0.97,1.207,1.899,0.261,0.38,3.4
2026_08_16/s3,s3,v7,,s40,11,球L,ball(3cm),2.0,1.0–2.5°,clear,0,0,schedule,1,miss,1,87.43,93.42,2,2,0,0,none,,,,,,,,,,none,0,0,0,0,,none,wrong,wrong,球M,5.04,none,,,,1.212,,0.266,3.35
2026_08_16/s3,s3,v7,,s40,12,球M,ball(3cm),3.19,≥2.5°,clear,0,0,schedule,1,hit,1,94.58,100.52,2,2,2,0,correct,球M,2.66,1.79,0.02,0.382,3.33,0.335,0.935,0.87,correct_only,1,0,0,0,,none,correct,correct,球M,1.95,correct,球M,1.95,3.33,,0.404,,4.0
2026_08_16/s3,s3,v7,,s40,13,球R,ball(3cm),1.53,1.0–2.5°,clear,0,0,schedule,1,hit,1,101.68,107.62,2,2,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,球R,6.34,none,,,1.211,,0.342,,3.38
2026_08_16/s3,s3,v7,,s40,14,球M,ball(3cm),3.19,≥2.5°,clear,0,0,schedule,1,hit,1,108.78,114.79,3,3,2,0,correct,球M,1.85,1.15,-0.86,0.405,1.922,0.412,0.938,0.7,correct_only,1,0,0,0,,none,correct,correct,球M,2.06,correct,球M,1.73,2.076,,0.405,,3.39
2026_08_16/s3,s3,v7,,s40,15,球R,ball(3cm),1.53,1.0–2.5°,clear,0,0,schedule,1,hit,1,115.95,121.92,1,1,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,球R,7.1,none,,,1.171,,0.274,,3.38
2026_08_16/s4,s4,v8,,s40,1,球L,ball(3cm),1.67,1.0–2.5°,clear,0,0,schedule,1,hit,1,15.68,21.4,2,2,2,0,correct,球L,3.95,2.44,1.53,0.382,1.099,0.565,0.962,1.52,correct_only,1,0,0,0,,none,correct,correct,球L,4.17,correct,球L,4.17,1.269,,0.401,,3.81
2026_08_16/s4,s4,v8,,s40,2,球L,ball(3cm),1.67,1.0–2.5°,clear,0,0,schedule,1,hit,1,22.56,28.34,2,2,2,0,correct,球L,2.12,0.06,-0.36,0.401,1.068,0.508,0.965,2.06,correct_only,1,0,0,0,,none,correct,correct,球L,6.12,correct,球L,6.12,1.131,,0.401,,3.83
2026_08_16/s4,s4,v8,,s40,3,球M,ball(3cm),2.82,≥2.5°,clear,0,0,schedule,1,hit,1,29.5,35.29,6,6,2,0,wrong,球L,1.55,1.12,-0.94,0.374,1.26,0.6,0.956,0.43,wrong_only,0,1,0,0,球L,none,wrong,wrong,球L,1.62,wrong,球L,1.03,1.364,1.303,0.315,0.374,3.81
2026_08_16/s4,s4,v8,,s40,4,球R,ball(3cm),1.28,1.0–2.5°,clear,0,0,schedule,1,hit,1,36.45,42.22,5,5,0,0,none,,,,,,,,,,none,0,0,0,0,,none,wrong,correct,球R,6.12,none,,,0.948,1.211,0.319,0.341,3.89
2026_08_16/s4,s4,v8,,s40,5,球R,ball(3cm),1.28,1.0–2.5°,clear,0,0,schedule,1,hit,1,43.38,49.06,3,3,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,球R,6.34,none,,,0.887,0.814,0.341,0.334,3.83
2026_08_16/s4,s4,v8,,s40,6,球M,ball(3cm),2.82,≥2.5°,clear,0,0,schedule,1,hit,1,50.22,55.97,5,5,0,0,none,,,,,,,,,,none,0,0,0,0,,none,wrong,correct,球M,1.41,none,,,1.47,1.132,0.335,0.222,3.87
2026_08_16/s4,s4,v8,,s40,7,球M,ball(3cm),2.82,≥2.5°,clear,0,0,schedule,1,hit,1,57.13,62.9,4,4,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,球M,1.57,none,,,1.468,,0.323,,3.9
2026_08_16/s4,s4,v8,,s40,8,球L,ball(3cm),1.67,1.0–2.5°,clear,0,0,schedule,1,hit,1,72.63,78.38,3,3,0,0,none,,,,,,,,,,none,0,0,0,0,,none,wrong,correct,球L,2.04,none,,,1.283,1.564,0.342,0.33,3.79
2026_08_16/s4,s4,v8,,s40,9,球R,ball(3cm),1.28,1.0–2.5°,clear,0,0,schedule,1,miss,1,79.54,85.21,4,4,0,0,none,,,,,,,,,,none,0,0,0,0,,none,wrong,wrong,石榴,2.16,none,,,1.049,1.22,0.342,0.329,3.79
2026_08_16/s4,s4,v8,,s40,10,球M,ball(3cm),2.82,≥2.5°,clear,0,0,schedule,1,hit,1,86.37,92.19,3,3,0,0,none,,,,,,,,,,none,0,0,0,0,,none,wrong,wrong,石榴,1.22,none,,,,1.106,,0.272,3.81
2026_08_16/s4,s4,v8,,s40,11,球R,ball(3cm),1.28,1.0–2.5°,clear,0,0,schedule,1,miss,1,93.35,99.29,3,3,0,0,none,,,,,,,,,,none,0,0,0,0,,none,wrong,wrong,球M,5.37,none,,,,1.461,,0.312,3.8
2026_08_16/s4,s4,v8,,s40,12,球R,ball(3cm),1.28,1.0–2.5°,clear,0,0,schedule,1,miss,1,100.45,106.37,1,1,0,0,none,,,,,,,,,,none,0,0,0,0,,none,wrong,wrong,石榴,3.63,none,,,,1.184,,0.238,3.91
2026_08_16/s4,s4,v8,,s40,13,球M,ball(3cm),2.82,≥2.5°,clear,0,0,schedule,1,hit,1,107.53,113.49,1,1,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,球M,2.22,none,,,1.48,,0.316,,3.81
2026_08_16/s4,s4,v8,,s40,14,球L,ball(3cm),1.67,1.0–2.5°,clear,0,0,schedule,1,hit,1,114.65,120.66,1,1,1,0,correct,球L,6.37,2.8,3.66,0.351,1.116,0.823,0.95,3.57,correct_only,1,0,0,0,,none,correct,correct,球L,3.57,correct,球L,3.57,1.116,,0.351,,3.77
