rec,card,room,map,station,tags,target,outcome,theta_deg,theta_src,vote,dur_s,dist_m
003,c4,新房,v9,4.52m α14.5°,beyond_occ,球R,miss,0.63,unit,,,
003,c4,新房,v9,4.52m α14.5°,beyond_occ,球L,hit,0.64,station,0.27,1.5,4.34
003,c4,新房,v9,4.52m α14.5°,beyond_occ,球L,miss,0.64,station,0.27,1.5,4.34
003,c4,新房,v9,4.52m α14.5°,beyond_occ,球M,miss,0.63,unit,,,
003,c4,新房,v9,4.52m α14.5°,beyond_occ,球L,hit,0.64,unit,0.27,3.6,4.36
003,c4,新房,v9,4.52m α14.5°,beyond_occ,球M,miss,0.63,unit,,,
003,c4,新房,v9,4.52m α14.5°,beyond_occ,球R,miss,0.63,unit,,,
003,c4,新房,v9,4.52m α14.5°,beyond_occ,球M,miss,0.63,unit,,,
003,c4,新房,v9,4.52m α14.5°,beyond_occ,球R,miss,0.63,unit,,,
003,c4,新房,v9,4.52m α14.5°,beyond_occ,水瓶,extra,0.18,unit,0.25,2.6,4.36
003,c4,新房,v9,4.52m α14.5°,beyond_occ,水瓶,extra,0.18,unit,0.27,12.3,4.37
003,c4,新房,v9,4.52m α14.5°,beyond_occ,球L,extra,0.64,unit,0.25,6.8,4.35
003,c4,新房,v9,4.52m α14.5°,beyond_occ,水瓶,extra,0.18,unit,0.26,5.2,4.34
003,c4,新房,v9,4.52m α14.5°,beyond_occ,苹果粉,extra,1.57,unit,0.28,1.3,4.34
003,c4,新房,v9,4.52m α14.5°,beyond_occ,球L,extra,0.64,unit,0.29,3.0,4.35
003,c4,新房,v9,4.52m α14.5°,beyond_occ,水瓶,extra,0.18,unit,0.28,3.8,4.37
003,c4,新房,v9,4.52m α14.5°,beyond_occ,球L,extra,0.64,unit,0.3,1.1,4.28
003,c4,新房,v9,4.52m α14.5°,beyond_occ,球L,extra,0.64,unit,0.32,7.9,4.29
003,c4,新房,v9,4.52m α14.5°,beyond_occ,苹果粉,extra,1.57,unit,0.36,1.5,4.3
003,c4,新房,v9,4.52m α14.5°,beyond_occ,球L,extra,0.64,unit,0.31,1.7,4.31
003,c4,新房,v9,4.52m α14.5°,beyond_occ,苹果粉,extra,1.57,unit,0.28,1.9,4.3
003,c4,新房,v9,4.52m α14.5°,beyond_occ,水瓶,extra,0.18,unit,0.27,1.5,4.33
