rec,card,map,tags,k,target,outcome,dwell,dwell_obj,dwell_s,gated,gated_obj,n_seg,theta_unit,theta_trial,head_src,head_frames,dist_m,occluded,blocker,walking,window_src
2026_08_20/002,c4,v9,beyond_occ,12,球M,miss,wrong,苹果粉,2.65,none,,1,0.66,0.64,window,33,4.52,0.0,,0,lcs_episode
2026_08_20/002,c4,v9,beyond_occ,13,球R,miss,wrong,苹果粉,1.74,none,,1,0.84,0.85,window,23,4.68,0.0,(unnamed),0,lcs_episode
2026_08_20/002,c4,v9,beyond_occ,14,球M,miss,none,,0.0,none,,0,0.66,0.66,no_window,1251,4.46,0.0,,0,none
2026_08_20/002,c4,v9,beyond_occ,15,球R,miss,wrong,球L,1.03,none,,1,0.84,0.89,window,17,4.55,0.0,(unnamed),0,lcs_episode
2026_08_20/003,c4,v9,beyond_occ,1,球L,hit,correct,球L,1.03,none,,3,0.64,0.66,window,26,4.38,0.0,(物品台),0,lcs_episode
2026_08_20/003,c4,v9,beyond_occ,2,球R,miss,none,,0.0,none,,0,0.63,0.63,no_window,1256,4.77,0.23,球M,0,none
2026_08_20/003,c4,v9,beyond_occ,3,球R,miss,none,,0.0,none,,0,0.63,0.63,no_window,1256,4.77,0.23,球M,0,none
2026_08_20/003,c4,v9,beyond_occ,4,球M,miss,none,,0.0,none,,0,0.63,0.63,no_window,1256,4.6,0.46,球L,0,none
2026_08_20/003,c4,v9,beyond_occ,5,球M,miss,none,,0.0,none,,0,0.63,0.63,no_window,1256,4.6,0.46,球L,0,none
2026_08_20/003,c4,v9,beyond_occ,6,球L,hit,correct,球L,1.19,none,,1,0.64,0.63,window,18,4.49,0.0,(物品台),0,lcs_episode
2026_08_20/003,c4,v9,beyond_occ,7,球R,miss,none,,0.0,none,,0,0.63,0.63,no_window,1256,4.77,0.23,球M,0,none
2026_08_20/003,c4,v9,beyond_occ,8,球L,hit,correct,球L,1.46,none,,1,0.64,0.65,window,21,4.47,0.0,(物品台),0,lcs_episode
2026_08_20/003,c4,v9,beyond_occ,9,球L,hit,correct,球L,1.46,none,,1,0.64,0.65,window,21,4.47,0.0,(物品台),0,lcs_episode
2026_08_20/003,c4,v9,beyond_occ,10,球M,miss,none,,0.0,none,,0,0.63,0.63,no_window,1256,4.6,0.46,球L,0,none
2026_08_20/003,c4,v9,beyond_occ,11,球L,miss,wrong,苹果红,7.98,none,,5,0.64,0.65,window,114,4.48,0.0,(物品台),0,lcs_episode
2026_08_20/003,c4,v9,beyond_occ,12,球M,miss,none,,0.0,none,,0,0.63,0.63,no_window,1256,4.6,0.46,球L,0,none
2026_08_20/003,c4,v9,beyond_occ,13,球R,miss,wrong,苹果红,1.79,none,,1,0.63,0.64,window,23,4.79,0.23,球M,0,lcs_episode
2026_08_20/003,c4,v9,beyond_occ,14,球M,miss,none,,0.0,none,,0,0.63,0.63,no_window,1256,4.6,0.46,球L,0,none
2026_08_20/003,c4,v9,beyond_occ,15,球R,miss,wrong,苹果红,2.02,none,,1,0.63,0.64,window,22,4.8,0.23,球M,0,lcs_episode
2026_08_25/c1_1,c4,v9,beyond_occ,1,球L,miss,wrong,苹果粉,3.25,none,,1,0.92,1.0,window,37,4.08,0.0,,0,lcs_episode
2026_08_25/c1_1,c4,v9,beyond_occ,2,球R,miss,none,,0.0,none,,0,0.9,0.9,no_window,1238,4.52,0.0,(unnamed),0,none
2026_08_25/c1_1,c4,v9,beyond_occ,3,球R,miss,none,,0.0,none,,0,0.9,0.9,no_window,1238,4.52,0.0,(unnamed),0,none
2026_08_25/c1_1,c4,v9,beyond_occ,4,球M,miss,none,,0.0,none,,0,0.68,0.68,no_window,1238,4.35,0.0,,0,none
2026_08_25/c1_1,c4,v9,beyond_occ,5,球M,miss,none,,0.0,none,,0,0.68,0.68,no_window,1238,4.35,0.0,,0,none
2026_08_25/c1_1,c4,v9,beyond_occ,6,球L,hit,correct,球L,5.96,none,,1,0.92,0.93,window,65,4.18,0.0,,0,lcs_episode
2026_08_25/c1_1,c4,v9,beyond_occ,7,球R,miss,none,,0.0,none,,0,0.9,0.9,no_window,1238,4.52,0.0,(unnamed),0,none
2026_08_25/c1_1,c4,v9,beyond_occ,8,球L,hit,correct,球L,4.71,none,,2,0.92,0.94,window,55,4.19,0.0,,0,lcs_episode
2026_08_25/c1_1,c4,v9,beyond_occ,9,球L,miss,wrong,苹果粉,8.18,none,,1,0.92,0.93,window,87,4.21,0.0,,0,lcs_episode
2026_08_25/c1_1,c4,v9,beyond_occ,10,球M,miss,wrong,球L,6.72,none,,1,0.68,0.67,window,73,4.37,0.0,,0,lcs_episode
2026_08_25/c1_1,c4,v9,beyond_occ,11,球L,miss,wrong,苹果粉,12.89,none,,5,0.92,0.91,window,143,4.23,0.0,,0,lcs_episode
2026_08_25/c1_1,c4,v9,beyond_occ,12,球M,miss,wrong,苹果粉,6.66,none,,2,0.68,0.67,window,74,4.37,0.0,,0,lcs_episode
2026_08_25/c1_1,c4,v9,beyond_occ,13,球R,miss,none,,0.0,none,,0,0.9,0.9,no_window,1238,4.52,0.0,(unnamed),0,none
